property_ID,locality_name,postal_code,type,subtype,price (€),number_of_bedrooms,living_area (m²),"equiped_kitchen (yes:1, no:0)","furnished (yes:1, no:0)","open_fire (yes:1, no:0)","terrace (yes:1, no:0)",terrace_area (m²),"garden (yes:1, no:0)",number_facades,"swimming_pool (yes:1, no:0)",state_of_building
VBD50473,,1070.0,House,Mixed building,1500000.0,,,0,0,0,0,,0,2.0,0,
VBD50701,Boulevard du Souverain 53,1160.0,Apartment,Apartment,365000.0,2.0,108.0,0,0,0,1,50.0,0,4.0,0,Normal
VBD50702,Avenue Louis Gribaumont 53,1150.0,Apartment,Studio,200000.0,0.0,45.0,0,0,0,0,,0,2.0,0,Normal
VBD50506,,1210.0,House,Residence,1745000.0,9.0,,0,0,0,0,,0,2.0,0,
VBD50409,Avenue Gabriel Emile Lebon 53,1160.0,Apartment,Apartment,345000.0,3.0,119.0,0,0,0,1,8.0,1,4.0,0,Normal
VBD49847,Rue Corneille De Clercq 61,1090.0,Apartment,Studio,160000.0,0.0,45.0,0,0,0,1,22.0,0,,0,To renovate
VBD50837,Quai de Willebroeck 25,1000.0,Apartment,Penthouse,435000.0,2.0,102.0,1,0,0,1,6.0,0,4.0,0,New
VBD50106,Boulevard Léopold III 41,1030.0,Apartment,Studio,175000.0,1.0,49.0,0,0,0,0,,0,4.0,0,Normal
VBD50555,Rue de Laeken 88,1000.0,Apartment,Loft,850000.0,3.0,315.0,1,0,0,1,30.0,0,2.0,0,Excellent
VBD50408,Chaussée de Boondael 523,1050.0,Apartment,Apartment,325000.0,2.0,80.0,0,0,0,1,1.0,0,2.0,0,To be renovated
VBD49841,Avenue des Constellations 11,1200.0,House,Residence,745000.0,4.0,206.0,1,0,0,1,20.0,1,3.0,0,Excellent
VBD49040,,1050.0,Apartment,Ground floor,300000.0,1.0,60.0,1,0,0,1,15.0,1,,0,Excellent
VBD49848,Rue Corneille De Clercq 61,1090.0,Apartment,Apartment,190000.0,1.0,68.0,0,0,0,0,,0,,0,Normal
VBD50466,,1070.0,House,Mixed building,2255000.0,,,0,0,0,0,,0,2.0,0,To be renovated
VBD49124,RUE ALEXANDRE MARKELBACH 148,1030.0,Apartment,Apartment,250000.0,1.0,96.0,0,0,0,1,8.0,0,2.0,0,To be renovated
VBD50820,Rue de Livourne 94,1050.0,Apartment,Apartment,625000.0,2.0,160.0,1,0,0,1,11.0,0,2.0,0,Excellent
VBD50615,Rue de l'ancien presbytère 29,1083.0,Apartment,Duplex,305000.0,1.0,126.0,1,0,0,1,32.0,1,2.0,0,Normal
VBD51142,,1050.0,Apartment,Apartment,1100000.0,3.0,171.0,1,0,0,1,14.0,0,,0,Fully renovated
VBD51144,,1050.0,Apartment,Apartment,815000.0,3.0,136.0,1,0,0,0,,0,,0,New
VBD51143,,1050.0,Apartment,Apartment,830000.0,3.0,136.0,1,0,0,0,,0,,0,Fully renovated
VBD51146,,1050.0,Apartment,Apartment,995000.0,3.0,155.0,1,0,0,1,68.0,0,,0,Fully renovated
VBD51080,Quai au Foin 59-65,1000.0,Apartment,Studio,275000.0,,54.0,1,0,0,1,,0,2.0,0,New
VBD51078,Quai au Foin 59-65,1000.0,Apartment,Apartment,475000.0,,105.0,1,0,0,1,8.0,0,2.0,0,New
VBD51079,Quai au Foin 59-65,1000.0,Apartment,Apartment,,,130.0,1,0,0,1,18.0,0,2.0,0,New
VBD18716,,1050.0,Apartment,Apartment,520000.0,2.0,81.0,1,0,0,1,5.0,0,2.0,0,New
VBD18717,,1050.0,Apartment,Apartment,550000.0,2.0,86.0,1,0,0,1,3.0,0,2.0,0,New
VBD18718,,1050.0,Apartment,Apartment,595000.0,2.0,90.0,1,0,0,1,5.0,0,2.0,0,New
VBD18715,,1050.0,Apartment,Apartment,745000.0,2.0,117.0,1,0,0,1,8.0,0,2.0,0,New
VBD18711,,1050.0,Apartment,Apartment,765000.0,2.0,122.0,1,0,0,1,8.0,0,2.0,0,New
VBD18707,,1050.0,Apartment,Apartment,850000.0,2.0,135.0,1,0,0,1,9.0,1,2.0,0,New
VBD18709,,1050.0,Apartment,Apartment,835000.0,3.0,139.0,1,0,0,1,3.0,0,2.0,0,New
VBD18708,,1050.0,Apartment,Apartment,850000.0,3.0,141.0,1,0,0,1,6.0,0,2.0,0,New
VBD18720,,1050.0,Apartment,Apartment,875000.0,3.0,127.0,1,0,0,1,21.0,0,2.0,0,New
VBD18706,,1050.0,Apartment,Ground floor,650000.0,2.0,94.0,1,0,0,1,27.0,1,2.0,0,New
VBD18722,,1050.0,Apartment,Ground floor,995000.0,2.0,139.0,1,0,0,1,53.0,1,2.0,0,New
