property_ID,locality_name,postal_code,type,subtype,price (€),number_of_bedrooms,living_area (m²),"equiped_kitchen (yes:1, no:0)","furnished (yes:1, no:0)","open_fire (yes:1, no:0)","terrace (yes:1, no:0)",terrace_area (m²),"garden (yes:1, no:0)",number_facades,"swimming_pool (yes:1, no:0)",state_of_building
RBU62977,Heufkensstraat 138,9630.0,House,Residence,169000.0,3.0,120.0,0,0,0,0,,1,,0,To be renovated
RBU62441,Brakelsesteenweg 654,9400.0,House,Residence,549000.0,3.0,200.0,0,0,0,1,120.0,1,,1,New
RBU63087,Langestraat 31,9688.0,House,Mixed building,650000.0,1.0,200.0,1,0,0,1,,1,3.0,0,Excellent
RBU61997,Langestraat 86,9150.0,House,Residence,298000.0,2.0,,0,0,0,1,,1,2.0,0,
RBU66338,Woeker/Kattestraat,9700.0,Apartment,Apartment,,,77.0,1,0,0,1,6.0,0,3.0,0,New
RBU66337,Woeker/Kattestraat,9700.0,Apartment,Apartment,,,75.0,1,0,0,1,12.0,0,3.0,0,New
RBU66336,Woeker/Kattestraat,9700.0,Apartment,Apartment,,,98.0,1,0,0,1,13.0,0,3.0,0,New
RBU66250,Geraardsbergsesteenweg 220,9400.0,House,Residence,414000.0,3.0,160.0,1,0,0,1,,1,3.0,0,New
RBU67130,De Vilanderstraat 6,9300.0,House,Residence,425200.0,3.0,132.0,1,0,0,1,15.0,0,2.0,0,New
RBU67129,De Vilanderstraat 6,9300.0,House,Residence,426050.0,3.0,131.0,1,0,0,1,13.0,0,2.0,0,New
RBU67128,De Vilanderstraat 6,9300.0,House,Residence,428350.0,3.0,132.0,1,0,0,1,14.0,0,2.0,0,New
RBU65134,Zeebergkaai 3 14,9300.0,Apartment,Apartment,364062.0,2.0,91.0,1,0,0,1,13.0,1,2.0,0,New
RBU65136,Zeebergkaai 4 21,9300.0,Apartment,Apartment,405435.0,2.0,106.0,1,0,0,1,8.0,1,2.0,0,New
RBU65138,Zeebergkaai 4 13,9300.0,Apartment,Apartment,456584.0,2.0,110.0,1,0,0,1,25.0,1,2.0,0,New
RBU65137,Zeebergkaai 4 23,9300.0,Apartment,Apartment,463941.0,2.0,110.0,1,0,0,1,25.0,1,2.0,0,New
RBU65139,Zeebergkaai 3 34,9300.0,Apartment,Apartment,327600.0,2.0,91.0,1,0,0,1,14.0,0,2.0,0,New
RBU65131,Zeebergkaai 3 1,9300.0,Apartment,Ground floor,396600.0,2.0,105.0,1,0,0,1,33.0,1,2.0,0,New
RBU65135,Zeebergkaai 3 3,9300.0,Apartment,Studio,237938.0,1.0,53.0,1,0,0,1,8.0,1,2.0,0,New
RBU66343,Paepevelden 4,9520.0,House,Residence,414500.0,3.0,149.0,1,0,0,1,,1,3.0,0,New
RBU66340,Paepevelden 4,9520.0,House,Residence,487500.0,3.0,172.0,1,0,0,1,,1,4.0,0,New
RBU66341,Paepevelden 4,9520.0,House,Residence,492500.0,3.0,177.0,1,0,0,1,,1,4.0,0,New
RBU66342,Paepevelden 4,9520.0,House,Residence,497500.0,3.0,165.0,1,0,0,1,,1,4.0,0,New
RBU61370,Buiskouter,9800.0,House,Residence,363000.0,3.0,179.0,0,0,0,0,,1,,0,
RBU61366,Buiskouter,9800.0,House,Residence,374000.0,3.0,183.0,0,0,0,0,,1,,0,
RBU61371,Buiskouter,9800.0,House,Residence,376000.0,3.0,179.0,0,0,0,0,,1,,0,
RBU61367,Buiskouter,9800.0,House,Residence,378000.0,3.0,156.0,0,0,0,0,,1,,0,
RBU61372,Buiskouter,9800.0,House,Residence,381000.0,3.0,179.0,0,0,0,0,,1,,0,
RBU61368,Buiskouter,9800.0,House,Residence,383000.0,3.0,148.0,0,0,0,0,,1,,0,
RBU61369,Buiskouter,9800.0,House,Residence,405000.0,3.0,179.0,0,0,0,0,,1,,0,
RBU64971,Sleidinge-Dorp 33-41,9940.0,Apartment,Apartment,310000.0,1.0,75.0,1,0,0,1,17.0,0,2.0,0,New
RBU64969,Sleidinge-Dorp 33-41,9940.0,Apartment,Apartment,315000.0,2.0,75.0,1,0,0,1,17.0,0,2.0,0,New
RBU64970,Sleidinge-Dorp 33-41,9940.0,Apartment,Apartment,395000.0,2.0,113.0,1,0,0,1,9.0,0,2.0,0,New
RBU64965,Sleidinge-Dorp 33-41,9940.0,Apartment,Ground floor,300000.0,1.0,80.0,1,0,0,1,15.0,0,2.0,0,New
RBU64972,Sleidinge-Dorp 33-41,9940.0,Apartment,Ground floor,385000.0,2.0,103.0,1,0,0,1,36.0,0,2.0,0,New
RBU64967,Sleidinge-Dorp 33-41,9940.0,Apartment,Ground floor,385000.0,2.0,103.0,1,0,0,1,21.0,0,2.0,0,New
RBU64966,Sleidinge-Dorp 33-41,9940.0,Apartment,Ground floor,435000.0,3.0,146.0,1,0,0,1,29.0,0,2.0,0,New
RBU66885,De Vilanderstraat 6,9300.0,Apartment,Apartment,353000.0,2.0,99.0,1,0,0,1,13.0,0,2.0,0,New
RBU66886,De Vilanderstraat 6,9300.0,Apartment,Duplex,409500.0,3.0,117.0,1,0,0,1,18.0,0,2.0,0,New
RBU65140,De Vilanderstraat 6B 23,9300.0,Apartment,Duplex,442774.0,2.0,117.0,1,0,0,1,18.0,1,2.0,0,New
RBU65143,De Vilanderstraat 6E,9300.0,Apartment,Duplex,467226.0,3.0,132.0,1,0,0,1,15.0,1,2.0,0,New
RBU65141,De Vilanderstraat 6E,9300.0,Apartment,Duplex,467981.0,3.0,131.0,1,0,0,1,13.0,1,2.0,0,New
RBU65142,De Vilanderstraat 6E,9300.0,Apartment,Duplex,469290.0,3.0,132.0,1,0,0,1,14.0,1,2.0,0,New
RBU65927,Kraaiwinkel,9450.0,House,Residence,503772.0,3.0,144.0,0,0,0,0,,1,4.0,0,
RBU64915,Stuurstraat 9,9120.0,House,Residence,635000.0,3.0,163.0,0,0,0,1,,1,3.0,0,New
RBU64914,Stuurstraat 9 A,9120.0,House,Residence,665000.0,4.0,196.0,0,0,0,1,,1,3.0,0,New
RBU64879,Hoogkouter 44,9810.0,House,Residence,347551.0,3.0,169.0,1,0,0,0,,1,2.0,0,New
RBU64878,Hoogkouter 40,9810.0,House,Residence,352776.0,3.0,169.0,1,0,0,0,,1,2.0,0,New
RBU64880,Hoogkouter 42,9810.0,House,Residence,353109.0,3.0,169.0,1,0,0,0,,1,2.0,0,New
RBU64886,Vierweegsestraat 1-3,9032.0,Apartment,Apartment,289000.0,2.0,78.0,1,0,0,1,8.0,1,3.0,0,New
RBU64884,Vierweegsestraat 1-3,9032.0,Apartment,Apartment,295000.0,2.0,78.0,1,0,0,1,10.0,1,3.0,0,New
RBU64885,Vierweegsestraat 1-3,9032.0,Apartment,Apartment,299000.0,2.0,82.0,1,0,0,1,10.0,1,3.0,0,New
RBU64881,Vierweegsestraat 1-3,9032.0,Apartment,Apartment,299000.0,2.0,82.0,1,0,0,1,9.0,1,3.0,0,New
RBU64883,Vierweegsestraat 1-3,9032.0,Apartment,Penthouse,395000.0,3.0,113.0,1,0,0,1,24.0,1,3.0,0,New
RBU64882,Vierweegsestraat 1-3,9032.0,Apartment,Penthouse,465000.0,3.0,146.0,1,0,0,1,35.0,1,3.0,0,New
RBU66895,Zeebergkaai 4,9300.0,Apartment,Apartment,336700.0,2.0,91.0,1,0,0,1,14.0,0,2.0,0,New
RBU66892,Zeebergkaai 4,9300.0,Apartment,Apartment,336700.0,2.0,91.0,1,0,0,1,13.0,0,2.0,0,New
RBU66891,Zeebergkaai 4,9300.0,Apartment,Apartment,371000.0,2.0,106.0,1,0,0,1,8.0,0,2.0,0,New
RBU66893,Zeebergkaai 4,9300.0,Apartment,Apartment,396100.0,2.0,97.0,1,0,0,1,42.0,0,2.0,0,New
RBU66890,Zeebergkaai 4,9300.0,Apartment,Apartment,397950.0,2.0,105.0,1,0,0,1,31.0,0,2.0,0,New
RBU66887,Zeebergkaai 4,9300.0,Apartment,Apartment,420200.0,2.0,110.0,1,0,0,1,25.0,0,2.0,0,New
RBU66894,Zeebergkaai 4,9300.0,Apartment,Apartment,423500.0,2.0,110.0,1,0,0,1,25.0,0,2.0,0,New
RBU66888,Zeebergkaai 4,9300.0,Apartment,Studio,212000.0,0.0,53.0,1,0,0,1,8.0,0,2.0,0,New
RBU65878,Wegvoeringsstraat 90,9100.0,House,Residence,473778.0,4.0,236.0,0,0,0,1,,1,3.0,0,New
RBU65880,Wegvoeringsstraat 90,9100.0,House,Residence,486517.0,4.0,236.0,0,0,0,1,,1,3.0,0,New
RBU65879,Wegvoeringsstraat 90,9100.0,House,Residence,502184.0,4.0,228.0,0,0,0,1,,1,3.0,0,New
RBU65881,Wegvoeringsstraat 90,9100.0,House,Residence,516232.0,4.0,217.0,0,0,0,1,,1,3.0,0,New
RBU61377,Buiskouter,9800.0,House,Residence,445000.0,4.0,217.0,0,0,0,0,,1,,0,
RBU59253,,9950.0,House,Residence,426817.0,3.0,162.0,0,0,0,1,15.0,1,2.0,0,New
RBU58563,Melselestraat 6,9120.0,House,Residence,698000.0,4.0,225.0,0,0,0,1,,1,3.0,0,New
RBU58960,Engelbert van Arenbergstraat 28,9000.0,Apartment,Apartment,310000.0,2.0,90.0,0,0,0,1,,0,,0,
RBU61494,Ressegemstraat 165,9550.0,House,Residence,379000.0,2.0,160.0,0,0,0,1,45.0,1,,0,Excellent
RBU59254,,9950.0,House,Residence,489781.0,3.0,180.0,0,0,0,1,32.0,1,3.0,0,New
RBU60206,Zonnestraat 147,9600.0,House,Residence,125000.0,3.0,125.0,1,0,0,1,,1,4.0,0,To be renovated
RBU59338,Land Van Waaslaan 40,9000.0,Apartment,Apartment,325000.0,2.0,101.0,0,0,0,1,,0,,0,
RBU60061,Zaffelare-Dorp 29 0001,9080.0,Apartment,Apartment,250000.0,1.0,57.0,1,0,0,1,10.0,1,2.0,0,New
RBU60058,Zaffelare-Dorp 29 0201,9080.0,Apartment,Apartment,290000.0,2.0,67.0,1,0,0,1,7.0,1,2.0,0,New
RBU60057,Zaffelare-Dorp 29 0202,9080.0,Apartment,Apartment,305000.0,2.0,71.0,1,0,0,1,7.0,1,2.0,0,New
RBU60060,Zaffelare-Dorp 29 0002,9080.0,Apartment,Apartment,327000.0,2.0,84.0,1,0,0,1,10.0,1,2.0,0,New
RBU60059,Zaffelare-Dorp 29 0102,9080.0,Apartment,Apartment,335000.0,2.0,80.0,1,0,0,1,15.0,1,2.0,0,New
RBU61505,Lange Nieuwstraat,9420.0,House,Residence,435000.0,3.0,160.0,0,0,0,0,,1,,0,
RBU61506,Lange Nieuwstraat,9420.0,House,Residence,460000.0,3.0,160.0,0,0,0,0,,1,,0,
RBU61504,Lange Nieuwstraat,9420.0,House,Residence,490000.0,3.0,161.0,0,0,0,0,,1,,0,
RBU61502,Lange Nieuwstraat,9420.0,House,Residence,460000.0,4.0,178.0,0,0,0,0,,1,,0,
RBU61503,Lange Nieuwstraat,9420.0,House,Residence,560000.0,4.0,196.0,0,0,0,0,,1,,0,
RBU61378,Buiskouter,9800.0,House,Residence,435000.0,4.0,170.0,0,0,0,0,,1,,0,
RBU61381,Buiskouter,9800.0,House,Residence,437000.0,4.0,170.0,0,0,0,0,,1,,0,
RBU61379,Buiskouter,9800.0,House,Residence,446000.0,4.0,170.0,0,0,0,0,,1,,0,
RBU64385,Trompstraat 35,9190.0,House,Residence,512000.0,4.0,232.0,0,0,0,1,25.0,1,3.0,0,New
RBU61335,Viergemede 4B,9070.0,House,Residence,768000.0,3.0,226.0,1,0,1,1,28.0,1,3.0,0,New
RBU61336,Viergemede 4A,9070.0,House,Residence,775000.0,3.0,229.0,1,0,1,1,28.0,1,3.0,0,New
RBU61337,Viergemede 4,9070.0,House,Residence,805000.0,3.0,259.0,1,0,1,1,21.0,1,3.0,0,New
RBU61333,Viergemede 4C,9070.0,House,Residence,812000.0,3.0,253.0,1,0,1,1,21.0,1,3.0,0,New
RBU60051,Brunshaag 3,9800.0,House,Residence,363000.0,3.0,179.0,1,0,0,0,,1,2.0,0,New
RBU60052,Bremkouter 20-28,9800.0,House,Residence,374001.0,3.0,183.0,1,0,0,0,,1,2.0,0,New
RBU60050,Brunshaag 16,9800.0,House,Residence,376000.0,3.0,179.0,1,0,0,0,,1,3.0,0,New
RBU60053,Bremkouter 20-28,9800.0,House,Residence,378001.0,3.0,156.0,1,0,0,0,,1,3.0,0,New
RBU60056,Brunshaag 5,9800.0,House,Residence,381000.0,3.0,179.0,1,0,0,0,,1,3.0,0,New
