property_ID,locality_name,postal_code,type,subtype,price (€),number_of_bedrooms,living_area (m²),"equiped_kitchen (yes:1, no:0)","furnished (yes:1, no:0)","open_fire (yes:1, no:0)","terrace (yes:1, no:0)",terrace_area (m²),"garden (yes:1, no:0)",number_facades,"swimming_pool (yes:1, no:0)",state_of_building
VBD46983,Rue Albert 1er 190,6240,House,Residence,129000.0,1.0,45.0,0,0,0,0,,1,4.0,0,Normal
VWD15538,Chaussée de Mons 165,7180,House,Villa,410000.0,4.0,175.0,1,0,0,1,,1,4.0,0,Normal
VBD45817,Rue du Seigneur 21 C,6540,House,Villa,345000.0,6.0,146.0,1,0,0,1,41.0,1,4.0,0,Excellent
VBD46156,Rue du Chêne Bonnet 173,6110,House,Villa,229000.0,3.0,100.0,1,0,0,1,,1,4.0,0,To renovate
VBD46619,rue Longue 6,6200,House,Residence,349000.0,3.0,200.0,1,0,0,1,,1,4.0,0,Normal
RBU62399,,7000,House,Residence,195000.0,2.0,103.0,0,0,0,1,10.0,1,,0,
VBD47252,Rue Achille Chavée 50 1B,7100,Apartment,Apartment,175000.0,2.0,76.0,1,0,0,1,,0,2.0,0,
VBD46869,,6560,House,Residence,125000.0,3.0,85.0,0,0,0,0,,1,2.0,0,
VBD46833,Rue Paradis des Chevaux 105,6060,House,Residence,229000.0,5.0,202.0,0,0,0,1,6.0,0,3.0,0,
RBU63284,,7090,House,Residence,750000.0,4.0,550.0,0,0,0,1,30.0,1,4.0,0,Normal
VBD46457,Rue fernand vinet 30,7060,House,Master house,480000.0,6.0,580.0,0,0,0,1,54.0,1,4.0,0,To be renovated
VBD46079,Rue d'Horrues 103,7090,House,Residence,225000.0,4.0,121.0,1,0,0,1,20.0,1,2.0,0,Normal
RBU61388,Rue de la Révolution 73,6040,House,Residence,135000.0,2.0,130.0,0,0,0,1,,1,3.0,0,To be renovated
VBD46872,,6560,House,Residence,158000.0,4.0,135.0,0,0,0,0,,1,4.0,0,
RBU62400,,6560,House,Residence,80000.0,3.0,235.0,0,0,0,1,30.0,0,3.0,0,To be renovated
VBD49578,rue Albert Moulin - Hectaar,7608,House,Residence,235000.0,3.0,136.0,0,0,0,0,,0,2.0,0,
VBD49579,rue Albert Moulin - Hectaar,7608,House,Residence,255000.0,3.0,127.0,0,0,0,0,,0,3.0,0,
VBD48392,Rue de la Malogne 10,7100,Apartment,Apartment,,1.0,68.0,1,0,0,1,5.0,0,4.0,0,
VBD48389,Rue de la Malogne 10,7100,Apartment,Apartment,,1.0,93.0,1,0,0,1,15.0,0,4.0,0,
VBD48387,Rue de la Malogne 10,7100,Apartment,Apartment,,1.0,70.0,1,0,0,1,11.0,0,4.0,0,
VBD48386,Rue de la Malogne 10,7100,Apartment,Apartment,,1.0,67.0,1,0,0,1,13.0,0,4.0,0,
VBD48384,Rue de la Malogne 10,7100,Apartment,Apartment,,1.0,67.0,1,0,0,1,5.0,0,4.0,0,
VBD48381,Rue de la Malogne 10,7100,Apartment,Apartment,,1.0,78.0,1,0,0,1,15.0,0,4.0,0,
VBD48380,Rue de la Malogne 10,7100,Apartment,Apartment,,1.0,74.0,1,0,0,1,6.0,0,4.0,0,
VBD48379,Rue de la Malogne 10,7100,Apartment,Apartment,,1.0,79.0,1,0,0,1,17.0,0,4.0,0,
VBD48365,Rue de la Malogne 10,7100,Apartment,Apartment,,1.0,68.0,1,0,0,1,,0,4.0,0,
VBD48394,Rue de la Malogne 10,7100,Apartment,Apartment,,2.0,113.0,1,0,0,1,50.0,0,4.0,0,
VBD48388,Rue de la Malogne 10,7100,Apartment,Apartment,,2.0,86.0,1,0,0,1,17.0,0,4.0,0,
VBD48385,Rue de la Malogne 10,7100,Apartment,Apartment,,2.0,94.0,1,0,0,1,14.0,0,4.0,0,
VBD48370,Rue de la Malogne 10,7100,Apartment,Apartment,,2.0,80.0,1,0,0,1,,0,4.0,0,
VBD48366,Rue de la Malogne 10,7100,Apartment,Apartment,,2.0,94.0,1,0,0,1,22.0,1,4.0,0,
VBD48373,Rue de la Malogne 10,7100,Apartment,Apartment,235000.0,2.0,91.0,1,0,0,1,10.0,0,4.0,0,
VBD48363,Rue de la Malogne 10,7100,Apartment,Apartment,235000.0,2.0,85.0,1,0,0,1,9.0,1,4.0,0,
VBD48372,Rue de la Malogne 10,7100,Apartment,Apartment,240000.0,2.0,84.0,1,0,0,1,9.0,0,4.0,0,
VBD48382,Rue de la Malogne 10,7100,Apartment,Apartment,245000.0,2.0,84.0,1,0,0,1,9.0,0,4.0,0,
VBD48364,Rue de la Malogne 10,7100,Apartment,Apartment,245000.0,2.0,91.0,1,0,0,1,10.0,1,4.0,0,
VBD48390,Rue de la Malogne 10,7100,Apartment,Apartment,249000.0,2.0,84.0,1,0,0,1,9.0,0,4.0,0,
VBD48383,Rue de la Malogne 10,7100,Apartment,Apartment,250000.0,2.0,91.0,1,0,0,1,10.0,0,4.0,0,
VBD48391,Rue de la Malogne 10,7100,Apartment,Apartment,260000.0,2.0,91.0,1,0,0,1,10.0,0,4.0,0,
VBD48395,Rue de la Malogne 10,7100,Apartment,Apartment,,3.0,134.0,1,0,0,1,40.0,0,4.0,0,
VBD49447,Rue de L'atelier Central 53,6230,Apartment,Apartment,181000.0,1.0,62.0,0,0,0,1,7.0,0,2.0,0,
VBD49475,Rue de L'atelier Central 53,6230,Apartment,Apartment,185600.0,1.0,62.0,0,0,0,1,5.0,0,2.0,0,
VBD49448,Rue de L'atelier Central 53,6230,Apartment,Apartment,188500.0,1.0,64.0,0,0,0,1,6.0,0,2.0,0,
VBD49450,Rue de L'atelier Central 53,6230,Apartment,Apartment,191000.0,1.0,64.0,0,0,0,1,6.0,0,2.0,0,
VBD49492,Rue de L'atelier Central 53,6230,Apartment,Apartment,192600.0,1.0,64.0,0,0,0,1,6.0,0,2.0,0,
VBD49493,Rue de L'atelier Central 53,6230,Apartment,Apartment,196500.0,1.0,64.0,0,0,0,1,14.0,0,2.0,0,
VBD49464,Rue de L'atelier Central 53,6230,Apartment,Apartment,199600.0,1.0,66.0,0,0,0,1,9.0,0,2.0,0,
