property_ID,locality_name,postal_code,type,subtype,price (€),number_of_bedrooms,living_area (m²),"equiped_kitchen (yes:1, no:0)","furnished (yes:1, no:0)","open_fire (yes:1, no:0)","terrace (yes:1, no:0)",terrace_area (m²),"garden (yes:1, no:0)",number_facades,"swimming_pool (yes:1, no:0)",state_of_building
VBD46747,Rue de branchon 5,1350.0,House,Residence,990000.0,7.0,550.0,1,0,1,1,150.0,1,4.0,1,Excellent
VBD45659,Route Provinciale 300 4,1300.0,Apartment,Apartment,314000.0,2.0,82.0,1,0,0,1,4.0,0,3.0,0,Normal
VBD45353,Rue Saint Jean 25 202,1435.0,Apartment,Apartment,220000.0,1.0,,1,0,0,0,,1,4.0,0,Excellent
VBD47092,,1480.0,Apartment,Apartment,319098.0,3.0,115.0,0,0,0,1,12.0,0,2.0,0,
VBD47091,,1480.0,Apartment,Apartment,238540.0,1.0,73.0,0,0,0,1,17.0,0,2.0,0,
VBD47093,,1480.0,Apartment,Apartment,271434.0,2.0,100.0,0,0,0,1,14.0,0,2.0,0,
VBD45660,Route Provinciale 300 4,1301.0,Apartment,Apartment,314000.0,2.0,82.0,1,0,0,1,4.0,0,3.0,0,Normal
VBD39810,Rue de la Station 132,1410.0,House,Residence,449000.0,4.0,180.0,1,0,0,1,18.0,1,2.0,0,Normal
VBD46170,Avenue Adolphe Schattens 51 12,1410.0,Apartment,Apartment,315000.0,2.0,75.0,1,0,0,1,8.0,1,2.0,0,To renovate
VBD46603,Rue du Domaine 14,1390.0,House,Residence,425000.0,3.0,125.0,0,0,0,1,,1,,0,
VBD45303,Rue de la Station 1 09,1350.0,Apartment,Apartment,299800.0,2.0,134.0,1,0,0,1,,1,3.0,0,New
VBD49085,rue de samme 82,1460.0,House,Residence,394610.0,3.0,190.0,1,0,0,1,,1,3.0,0,New
VBD49094,,1460.0,House,Residence,397585.0,3.0,152.0,0,0,0,1,19.0,1,3.0,0,New
VBD49086,,1460.0,House,Residence,397585.0,3.0,152.0,1,0,0,1,19.0,1,3.0,0,New
VBD49087,rue de samme 82,1460.0,House,Residence,397635.0,3.0,194.0,0,0,0,1,,1,2.0,0,New
VBD49095,,1460.0,House,Residence,406635.0,3.0,165.0,1,0,0,1,,1,3.0,0,New
VBD49092,rue de samme 82,1460.0,House,Residence,411705.0,3.0,224.0,1,0,0,1,,1,2.0,0,New
VBD49089,,1460.0,House,Residence,432640.0,3.0,175.0,1,0,0,1,,1,3.0,0,New
VBD49091,,1460.0,House,Residence,446760.0,3.0,192.0,1,0,0,1,17.0,1,3.0,0,New
VBD49093,,1460.0,House,Residence,447760.0,3.0,187.0,1,0,0,1,,1,3.0,0,New
VBD49088,rue de samme 82,1460.0,House,Residence,448770.0,4.0,225.0,1,0,0,1,,1,3.0,0,New
VBD49090,,1460.0,House,Residence,454000.0,4.0,225.0,1,0,0,1,17.0,1,3.0,0,New
VBD48576,Rue Provinciale 60,1300.0,Apartment,Apartment,265050.0,1.0,65.0,1,0,0,1,,0,3.0,0,New
VBD48586,Rue Provinciale 60,1300.0,Apartment,Apartment,269800.0,1.0,61.0,1,0,0,1,,0,3.0,0,New
VBD48584,Rue Provinciale 60,1300.0,Apartment,Apartment,272650.0,1.0,65.0,1,0,0,1,,0,3.0,0,New
VBD48625,Rue Provinciale 60,1300.0,Apartment,Apartment,274550.0,1.0,65.0,1,0,0,1,,0,3.0,0,New
VBD48563,Rue Provinciale 60,1300.0,Apartment,Apartment,279300.0,1.0,57.0,1,0,0,1,,0,3.0,0,New
VBD48591,Rue Provinciale 60,1300.0,Apartment,Apartment,284050.0,1.0,56.0,1,0,0,1,,0,3.0,0,New
VBD48575,Rue Provinciale 60,1300.0,Apartment,Apartment,288800.0,1.0,66.0,1,0,0,1,,1,3.0,0,New
VBD48589,Rue Provinciale 60,1300.0,Apartment,Apartment,293550.0,1.0,67.0,1,0,0,1,,1,3.0,0,New
VBD48585,Rue Provinciale 60,1300.0,Apartment,Apartment,295000.0,1.0,67.0,1,0,0,1,,1,3.0,0,New
VBD48581,Rue Provinciale 60,1300.0,Apartment,Apartment,295000.0,1.0,66.0,1,0,0,1,,1,3.0,0,New
VBD48594,Rue Provinciale 60,1300.0,Apartment,Apartment,299000.0,1.0,68.0,1,0,0,1,,1,3.0,0,New
VBD48587,Rue Provinciale 60,1300.0,Apartment,Apartment,299000.0,1.0,67.0,1,0,0,1,,1,3.0,0,New
VBD48574,Rue Provinciale 60,1300.0,Apartment,Apartment,299000.0,1.0,69.0,1,0,0,1,,1,3.0,0,New
VBD48604,Rue Provinciale 60,1300.0,Apartment,Apartment,340000.0,1.0,69.0,1,0,0,1,,1,3.0,0,New
VBD48630,Rue Provinciale 60,1300.0,Apartment,Apartment,365000.0,1.0,76.0,1,0,0,1,,1,3.0,0,New
VBD48609,Rue Provinciale 60,1300.0,Apartment,Apartment,420000.0,1.0,88.0,1,0,0,1,,1,3.0,0,New
VBD48632,Rue Provinciale 60,1300.0,Apartment,Apartment,430000.0,1.0,88.0,1,0,0,1,,0,3.0,0,New
VBD48601,Rue Provinciale 60,1300.0,Apartment,Apartment,539000.0,1.0,103.0,1,0,0,1,,1,3.0,0,New
VBD48570,Rue Provinciale 60,1300.0,Apartment,Apartment,559000.0,1.0,103.0,1,0,0,1,,1,3.0,0,New
VBD48622,Rue Provinciale 60,1300.0,Apartment,Apartment,,1.0,125.0,1,0,0,1,,1,3.0,0,New
VBD48611,Rue Provinciale 60,1300.0,Apartment,Apartment,,1.0,128.0,1,0,0,1,,1,3.0,0,New
VBD48571,Rue Provinciale 60,1300.0,Apartment,Apartment,453000.0,1.0,81.0,1,0,0,1,,1,3.0,0,New
VBD48599,Rue Provinciale 60,1300.0,Apartment,Apartment,405000.0,2.0,93.0,1,0,0,1,,1,3.0,0,New
VBD48582,Rue Provinciale 60,1300.0,Apartment,Apartment,407000.0,2.0,97.0,1,0,0,1,,1,3.0,0,New
VBD48627,Rue Provinciale 60,1300.0,Apartment,Apartment,415000.0,2.0,99.0,1,0,0,1,,0,3.0,0,New
VBD48590,Rue Provinciale 60,1300.0,Apartment,Apartment,415000.0,2.0,100.0,1,0,0,1,,0,3.0,0,New
VBD48603,Rue Provinciale 60,1300.0,Apartment,Apartment,417500.0,2.0,92.0,1,0,0,1,,1,3.0,0,New
VBD48628,Rue Provinciale 60,1300.0,Apartment,Apartment,419000.0,2.0,98.0,1,0,0,1,,0,3.0,0,New
VBD48562,Rue Provinciale 60,1300.0,Apartment,Apartment,419000.0,2.0,100.0,1,0,0,1,,1,3.0,0,New
