property_ID,locality_name,postal_code,type,subtype,price (€),number_of_bedrooms,living_area (m²),"equiped_kitchen (yes:1, no:0)","furnished (yes:1, no:0)","open_fire (yes:1, no:0)","terrace (yes:1, no:0)",terrace_area (m²),"garden (yes:1, no:0)",number_facades,"swimming_pool (yes:1, no:0)",state_of_building
RBU60880,Maurits Sabbestraat 4 202,2800.0,Apartment,Apartment,329000.0,3.0,104.0,0,0,0,1,,0,2.0,0,Excellent
RBU61001,Nieuwstraat 13,2200.0,House,Residence,425000.0,3.0,378.0,0,0,0,1,,1,2.0,0,To be renovated
RBU62593,Veerstraat,2840.0,Apartment,Apartment,264700.0,1.0,69.0,0,0,0,1,25.0,0,,0,
RBU60705,Winkelomseheide 158,2440.0,Apartment,Apartment,290000.0,2.0,95.0,0,0,0,1,15.0,1,2.0,0,New
RBU60944,Generaal van der Meerschstraat 85 2,2300.0,Apartment,Apartment,180000.0,2.0,88.0,0,0,0,1,2.0,0,2.0,0,Normal
RBU60881,Kapelstraat 112,2840.0,House,Residence,309000.0,3.0,124.0,0,0,0,0,,1,2.0,0,Normal
RBU60928,Broekstraat 33,2480.0,House,Residence,245000.0,3.0,144.0,0,0,0,1,,1,3.0,0,
RBU66767,Kasteelloop 20,2300.0,Apartment,Apartment,999999.0,1.0,66.0,0,0,0,1,11.0,0,2.0,0,New
RBU66761,Kasteelloop 20,2300.0,Apartment,Apartment,238900.0,2.0,72.0,0,0,0,1,17.0,0,2.0,0,New
RBU66758,Kasteelloop 20,2300.0,Apartment,Apartment,242900.0,2.0,73.0,0,0,0,1,17.0,0,2.0,0,New
RBU66757,Kasteelloop 20,2300.0,Apartment,Apartment,246900.0,2.0,73.0,0,0,0,1,17.0,0,2.0,0,New
RBU66766,Kasteelloop 20,2300.0,Apartment,Apartment,250900.0,2.0,72.0,0,0,0,1,17.0,0,2.0,0,New
RBU66754,Kasteelloop 20,2300.0,Apartment,Apartment,251900.0,2.0,72.0,0,0,0,1,17.0,0,2.0,0,New
RBU66756,Kasteelloop 20,2300.0,Apartment,Apartment,278900.0,2.0,85.0,0,0,0,1,17.0,0,2.0,0,New
RBU66753,Kasteelloop 20,2300.0,Apartment,Apartment,282900.0,2.0,85.0,0,0,0,1,17.0,0,2.0,0,New
RBU66763,Kasteelloop 20,2300.0,Apartment,Apartment,285900.0,2.0,84.0,0,0,0,1,25.0,0,2.0,0,New
RBU66759,Kasteelloop 20,2300.0,Apartment,Apartment,289900.0,2.0,85.0,0,0,0,1,17.0,0,2.0,0,New
RBU66755,Kasteelloop 20,2300.0,Apartment,Ground floor,227900.0,2.0,69.0,0,0,0,1,15.0,0,2.0,0,New
RBU66760,Kasteelloop 20,2300.0,Apartment,Ground floor,399900.0,3.0,133.0,0,0,0,1,25.0,0,2.0,0,New
RBU64202,Paalstraat 35,2900.0,Apartment,Apartment,475000.0,2.0,121.0,0,0,0,1,22.0,0,2.0,0,New
RBU64204,Paalstraat 35,2900.0,Apartment,Apartment,485000.0,2.0,121.0,0,0,0,1,22.0,0,2.0,0,New
RBU64205,Paalstraat 35,2900.0,Apartment,Apartment,550000.0,3.0,142.0,0,0,0,1,24.0,0,2.0,0,New
RBU66790,Kasteelloop 28,2300.0,Apartment,Apartment,232900.0,1.0,65.0,0,0,0,1,17.0,0,2.0,0,New
RBU66783,Kasteelloop 28,2300.0,Apartment,Apartment,250000.0,1.0,65.0,0,0,0,1,17.0,0,2.0,0,New
RBU66768,Kasteelloop 28,2300.0,Apartment,Apartment,268900.0,2.0,89.0,0,0,0,1,15.0,0,2.0,0,New
RBU66774,Kasteelloop 28,2300.0,Apartment,Apartment,281900.0,2.0,90.0,0,0,0,1,20.0,0,2.0,0,New
RBU66770,Kasteelloop 28,2300.0,Apartment,Apartment,299900.0,2.0,93.0,0,0,0,1,20.0,0,2.0,0,New
RBU66772,Kasteelloop 28,2300.0,Apartment,Apartment,300900.0,2.0,90.0,0,0,0,1,20.0,0,2.0,0,New
RBU66776,Kasteelloop 28,2300.0,Apartment,Apartment,305900.0,2.0,92.0,0,0,0,1,20.0,0,2.0,0,New
RBU66775,Kasteelloop 28,2300.0,Apartment,Apartment,301900.0,2.0,92.0,0,0,0,1,20.0,0,2.0,0,New
RBU66771,Kasteelloop 28,2300.0,Apartment,Apartment,296900.0,2.0,90.0,0,0,0,1,20.0,0,2.0,0,New
RBU66769,Kasteelloop 28,2300.0,Apartment,Apartment,232900.0,2.0,77.0,0,0,0,1,14.0,0,2.0,0,New
RBU66784,Kasteelloop 28,2300.0,Apartment,Apartment,399900.0,3.0,114.0,0,0,0,1,61.0,0,2.0,0,New
RBU66787,Kasteelloop 28,2300.0,Apartment,Apartment,404900.0,3.0,121.0,0,0,0,1,46.0,0,2.0,0,New
RBU66781,Kasteelloop 28,2300.0,Apartment,Apartment,405900.0,3.0,114.0,0,0,0,1,61.0,0,2.0,0,New
RBU66791,Kasteelloop 28,2300.0,Apartment,Apartment,407900.0,3.0,114.0,0,0,0,1,61.0,0,2.0,0,New
RBU66782,Kasteelloop 28,2300.0,Apartment,Apartment,409900.0,3.0,121.0,0,0,0,1,46.0,0,2.0,0,New
RBU66792,Kasteelloop 28,2300.0,Apartment,Apartment,419000.0,3.0,121.0,0,0,0,1,46.0,0,2.0,0,New
RBU66773,Kasteelloop 28,2300.0,Apartment,Ground floor,234900.0,2.0,78.0,0,0,0,1,14.0,0,2.0,0,New
RBU66712,Biesaard,2570.0,House,Residence,589000.0,3.0,201.0,0,0,0,1,17.0,1,3.0,0,New
RBU66710,Biesaard,2570.0,House,Residence,594000.0,3.0,201.0,0,0,0,1,17.0,1,3.0,0,New
RBU63095,Meerlenhoflaan 13 2,2660.0,Apartment,Apartment,198000.0,1.0,50.0,0,0,0,1,7.0,1,2.0,0,New
RBU63096,Meerlenhoflaan 13 3,2660.0,Apartment,Apartment,219000.0,1.0,54.0,0,0,0,1,7.0,1,2.0,0,New
RBU63094,Meerlenhoflaan 13 1,2660.0,Apartment,Apartment,308000.0,1.0,67.0,0,0,0,1,15.0,1,2.0,0,New
RBU65825,Kruisstraat 24,2200.0,House,Residence,399000.0,3.0,182.0,0,0,0,1,34.0,1,3.0,0,New
RBU65832,Kruisstraat 24,2200.0,House,Residence,485000.0,3.0,163.0,0,0,0,1,12.0,1,3.0,0,New
RBU65823,Kruisstraat 24,2200.0,House,Residence,539000.0,3.0,178.0,0,0,0,1,12.0,1,3.0,0,New
RBU65831,Kruisstraat 24,2200.0,House,Residence,459000.0,3.0,198.0,0,0,0,1,10.0,1,3.0,0,New
RBU65830,Kruisstraat 24,2200.0,House,Residence,436800.0,3.0,187.0,0,0,0,1,9.0,1,3.0,0,New
RBU65829,Kruisstraat 24,2200.0,House,Residence,425000.0,3.0,171.0,0,0,0,1,9.0,1,3.0,0,New
RBU65828,Kruisstraat 24,2200.0,House,Residence,446500.0,3.0,171.0,0,0,0,1,12.0,1,3.0,0,New
RBU65827,Kruisstraat 24,2200.0,House,Residence,425000.0,3.0,201.0,0,0,0,1,13.0,1,3.0,0,New
RBU65826,Kruisstraat 24,2200.0,House,Residence,469000.0,3.0,172.0,0,0,0,1,10.0,1,3.0,0,New
RBU65824,Kruisstraat 24,2200.0,House,Residence,399000.0,3.0,184.0,0,0,0,1,34.0,1,3.0,0,New
RBU64201,Paalstraat 35,2900.0,Apartment,Apartment,599000.0,2.0,122.0,0,0,0,1,32.0,0,2.0,0,New
RBU65048,Bijenkorf 15,2200.0,Apartment,Apartment,249500.0,1.0,72.0,0,0,0,1,21.0,1,3.0,0,New
RBU65047,Bijenkorf 15,2200.0,Apartment,Apartment,353500.0,3.0,113.0,0,0,0,1,15.0,1,3.0,0,New
RBU65046,Bijenkorf 15,2200.0,Apartment,Ground floor,361500.0,3.0,113.0,0,0,0,1,12.0,1,3.0,0,New
RBU66682,Langestraat 27,2240.0,Apartment,Apartment,259000.0,1.0,75.0,0,0,0,1,6.0,0,2.0,0,New
RBU66693,Langestraat 27,2240.0,Apartment,Apartment,269000.0,1.0,75.0,0,0,0,1,11.0,0,2.0,0,New
RBU66690,Langestraat 27,2240.0,Apartment,Apartment,271500.0,1.0,78.0,0,0,0,1,6.0,0,2.0,0,New
RBU66702,Langestraat 27,2240.0,Apartment,Apartment,279000.0,1.0,80.0,0,0,0,1,12.0,0,2.0,0,New
