property_ID,locality_name,postal_code,type,subtype,price (€),number_of_bedrooms,living_area (m²),"equiped_kitchen (yes:1, no:0)","furnished (yes:1, no:0)","open_fire (yes:1, no:0)","terrace (yes:1, no:0)",terrace_area (m²),"garden (yes:1, no:0)",number_facades,"swimming_pool (yes:1, no:0)",state_of_building
VBD45833,Rue Jehoge 10 A,4190,House,Residence,175000.0,1.0,78.0,1,0,0,1,,0,2.0,0,Normal
VBD32524,Rue Marcel-Remy 12,4030,House,Residence,350000.0,3.0,170.0,0,0,0,1,,1,2.0,0,Normal
VWD15127,Zur Kaiserbaracke 13,4780,House,Residence,,3.0,1.0,1,0,0,1,,1,4.0,0,Normal
VBD44721,Rue de Buay 32,4219,House,Residence,475000.0,3.0,190.0,0,0,0,1,20.0,1,4.0,0,
VWD13615,Avenue de la Havette 1,4900,Apartment,Apartment,258900.0,1.0,77.0,0,0,0,1,7.0,0,3.0,0,Excellent
VWD13611,Avenue de la Havette 1,4900,Apartment,Ground floor,,2.0,104.0,1,0,0,1,29.0,0,3.0,0,Excellent
VWD13617,Avenue de la Havette 1,4900,Apartment,Apartment,,2.0,109.0,0,0,0,1,8.0,0,3.0,0,Excellent
VWD13613,Avenue de la Havette 1,4900,Apartment,Apartment,313900.0,2.0,94.0,0,0,0,1,11.0,0,2.0,0,Excellent
VWD13614,Avenue de la Havette 1,4900,Apartment,Apartment,,3.0,111.0,0,0,0,1,11.0,0,3.0,0,Excellent
VWD13616,Avenue de la Havette 1,4900,Apartment,Penthouse,349900.0,2.0,114.0,0,0,0,1,20.0,0,3.0,0,Excellent
VWD13612,Avenue de la Havette 1,4900,Apartment,Ground floor,309900.0,3.0,101.0,0,0,0,1,29.0,0,2.0,0,Excellent
VBD49918,Rue du Centre Spatial 5-7-9,4031,Apartment,Apartment,,1.0,54.0,1,0,0,1,9.0,0,2.0,0,New
VBD49911,Rue du Centre Spatial 5-7-9,4031,Apartment,Apartment,,1.0,54.0,1,0,0,1,12.0,0,2.0,0,New
VBD49922,Rue du Centre Spatial 5-7-9,4031,Apartment,Apartment,,2.0,766.0,1,0,0,1,10.0,0,2.0,0,New
VBD49921,Rue du Centre Spatial 5-7-9,4031,Apartment,Apartment,,2.0,82.0,1,0,0,1,10.0,0,2.0,0,New
VBD49920,Rue du Centre Spatial 5-7-9,4031,Apartment,Apartment,,2.0,818.0,1,0,0,1,10.0,0,2.0,0,New
VBD49919,Rue du Centre Spatial 5-7-9,4031,Apartment,Apartment,,2.0,84.0,1,0,0,1,13.0,0,2.0,0,New
VBD49915,Rue du Centre Spatial 5-7-9,4031,Apartment,Apartment,,2.0,77.0,1,0,0,1,10.0,0,2.0,0,New
VBD49912,Rue du Centre Spatial 5-7-9,4031,Apartment,Apartment,,2.0,84.0,1,0,0,1,11.0,0,2.0,0,New
VBD49924,Rue du Centre Spatial 5-7-9,4031,Apartment,Apartment,,3.0,98.0,1,0,0,1,26.0,0,2.0,0,New
VBD49923,Rue du Centre Spatial 5-7-9,4031,Apartment,Apartment,,3.0,97.0,1,0,0,1,10.0,0,2.0,0,New
VBD49917,Rue du Centre Spatial 5-7-9,4031,Apartment,Apartment,,3.0,98.0,1,0,0,1,36.0,0,2.0,0,New
VBD49907,Rue du Centre Spatial 5-7-9,4031,Apartment,Ground floor,,1.0,56.0,0,0,0,1,10.0,1,2.0,0,New
VBD49910,Rue du Centre Spatial 5-7-9,4031,Apartment,Ground floor,,2.0,76.0,1,0,0,1,16.0,0,2.0,0,New
VBD49909,Rue du Centre Spatial 5-7-9,4031,Apartment,Ground floor,,2.0,80.0,1,0,0,1,15.0,1,2.0,0,New
VBD49908,Rue du Centre Spatial 5-7-9,4031,Apartment,Ground floor,,2.0,71.0,1,0,0,1,10.0,1,2.0,0,New
VBD49906,Rue du Centre Spatial 5-7-9,4031,Apartment,Ground floor,,2.0,55.0,1,0,0,1,10.0,1,2.0,0,
VBD49905,Rue du Centre Spatial 5-7-9,4031,Apartment,Ground floor,,2.0,72.0,0,0,0,1,10.0,1,2.0,0,New
VBD49904,Rue du Centre Spatial 5-7-9,4031,Apartment,Ground floor,,2.0,74.0,0,0,0,1,16.0,1,2.0,0,New
VBD49903,Rue du Centre Spatial 5-7-9,4031,Apartment,Ground floor,,2.0,70.0,0,0,0,1,16.0,0,2.0,0,New
VBD49937,Rue du Centre Spatial 5-7-9,4031,Apartment,Penthouse,,2.0,84.0,1,0,0,1,39.0,0,2.0,0,New
VBD49932,Rue du Centre Spatial 5-7-9,4031,Apartment,Penthouse,,2.0,77.0,1,0,0,1,10.0,0,2.0,0,New
VBD49929,Rue du Centre Spatial 5-7-9,4031,Apartment,Penthouse,,2.0,77.0,0,0,0,1,10.0,0,,0,New
VBD49927,Rue du Centre Spatial 5-7-9,4031,Apartment,Penthouse,,2.0,75.0,1,0,0,1,18.0,0,2.0,0,New
VBD49934,Rue du Centre Spatial 5-7-9,4031,Apartment,Penthouse,,3.0,94.0,0,0,0,1,22.0,0,2.0,0,New
VBD16453,Place Emile-Dupont 0,4000,Apartment,Apartment,288150.0,2.0,118.0,0,0,0,1,6.0,0,,0,New
VBD16458,Place Emile-Dupont 0,4000,Apartment,Apartment,301750.0,2.0,107.0,0,0,0,1,,0,,0,New
VBD16455,Place Emile-Dupont 0,4000,Apartment,Apartment,305150.0,2.0,118.0,0,0,0,1,,0,,0,New
VBD16461,Place Emile-Dupont 0,4000,Apartment,Apartment,310250.0,2.0,114.0,0,0,0,1,,0,,0,New
VBD16457,Place Emile-Dupont 0,4000,Apartment,Apartment,318750.0,2.0,117.0,0,0,0,1,,0,,0,New
VBD16456,Place Emile-Dupont 0,4000,Apartment,Apartment,327250.0,2.0,122.0,0,0,0,1,,0,,0,New
VBD16459,Place Emile-Dupont 0,4000,Apartment,Apartment,339150.0,2.0,117.0,0,0,0,1,,0,,0,New
VBD16463,Place Emile-Dupont 0,4000,Apartment,Apartment,378250.0,2.0,104.0,0,0,0,1,,0,,0,New
VBD16462,Place Emile-Dupont 0,4000,Apartment,Apartment,463250.0,2.0,124.0,0,0,0,1,,0,,0,New
VBD16465,Place Emile-Dupont 0,4000,Apartment,Penthouse,318325.0,2.0,104.0,0,0,0,1,,0,,0,New
VBD16464,Place Emile-Dupont 0,4000,Apartment,Penthouse,347650.0,2.0,111.0,0,0,0,1,,0,,0,New
VBD50049,Rue de la Station,4537,House,Residence,379000.0,3.0,139.0,0,0,0,1,139.0,1,4.0,0,
