property_ID,locality_name,postal_code,type,subtype,price (€),number_of_bedrooms,living_area (m²),"equiped_kitchen (yes:1, no:0)","furnished (yes:1, no:0)","open_fire (yes:1, no:0)","terrace (yes:1, no:0)",terrace_area (m²),"garden (yes:1, no:0)",number_facades,"swimming_pool (yes:1, no:0)",state_of_building
RBU71569,Groenstraat 7 bus 4,3910,Apartment,Apartment,209000.0,3.0,129.0,0,0,0,1,,0,,0,Normal
RBU71572,Sint-Andreasstraat 9,3630,House,Residence,,4.0,335.0,0,0,0,0,,0,,0,
RBU71656,Molenstraat 88,3920,House,Residence,309000.0,2.0,140.0,0,0,0,1,,1,4.0,0,Normal
RBU71691,Marterpad 12,3980,House,Residence,299000.0,2.0,,0,0,0,0,,0,4.0,0,New
RBU71740,Hospitaalstraat 4 5,3970,Apartment,Apartment,324000.0,3.0,125.0,0,0,0,1,5.0,0,,0,
RBU71741,Smolderstraat 24,3540,House,Residence,287000.0,4.0,148.0,0,0,0,1,41.0,0,2.0,0,
RBU71745,Adjudant De Keyserstraat 48,3970,House,Residence,575000.0,4.0,274.0,0,0,0,1,10.0,0,2.0,0,
RBU71746,Grote Baan 365,3530,House,Residence,259000.0,5.0,172.0,0,0,0,0,,0,4.0,0,
RBU71647,Martensbergstraat 10,3668,House,Residence,435000.0,3.0,144.0,0,0,0,0,,0,4.0,0,Excellent
RBU71744,Leopoldsburgsesteenweg 115,3971,House,Residence,299000.0,3.0,170.0,0,0,0,1,14.0,0,3.0,0,
RBU71574,Eikendreef 57,3970,House,Residence,259000.0,2.0,124.0,0,0,0,0,,0,3.0,0,Normal
RBK07101,Schaapsdries 2F,3600,Apartment,Apartment,262000.0,1.0,79.0,0,0,0,1,28.0,1,,0,New
RBK07099,Schaapsdries 2H,3600,Apartment,Ground floor,308000.0,2.0,98.0,0,0,0,1,17.0,1,,0,New
RBR55330,Schaapsdries 2D,3600,Apartment,Apartment,310000.0,2.0,97.0,0,0,0,1,24.0,1,,0,New
RBK07102,Schaapsdries 2E,3600,Apartment,Apartment,329000.0,2.0,104.0,0,0,0,1,35.0,1,,0,New
RBK07100,Schaapsdries 2G,3600,Apartment,Apartment,408000.0,3.0,129.0,0,0,0,1,36.0,1,,0,New
RBK07098,Schaapsdries 2H,3600,Apartment,Apartment,419000.0,3.0,129.0,0,0,0,1,23.0,1,,0,New
RBK07097,Schaapsdries 2H,3600,Apartment,Apartment,772000.0,4.0,199.0,0,0,0,1,30.0,1,,0,New
RBG65051,Everselstraat 43,3580,House,Residence,,3.0,,0,0,0,0,,1,3.0,0,New
RBH08420,Koninksemstraat -,3700,Apartment,Apartment,,3.0,132.0,0,0,0,1,12.0,1,2.0,0,New
RBH08411,Koninksemstraat -,3700,Apartment,Apartment,,3.0,132.0,0,0,0,1,19.0,0,2.0,0,New
RAH80541,Gelatineboulevard 2,3500,Apartment,Penthouse,,3.0,179.0,0,0,0,1,47.0,1,,0,New
RAQ68035,Matrozenpad 4,3500,Apartment,Apartment,334000.0,2.0,105.0,0,0,0,1,14.0,1,,0,New
RAH80542,Gelatineboulevard 2,3500,Apartment,Apartment,356000.0,2.0,100.0,0,0,0,1,50.0,1,,0,New
RBF00857,Broekermolenplein 14,3500,Apartment,Ground floor,357000.0,2.0,118.0,0,0,0,1,15.0,1,,0,New
