property_ID,locality_name,postal_code,type,subtype,price (€),number_of_bedrooms,living_area (m²),"equiped_kitchen (yes:1, no:0)","furnished (yes:1, no:0)","open_fire (yes:1, no:0)","terrace (yes:1, no:0)",terrace_area (m²),"garden (yes:1, no:0)",number_facades,"swimming_pool (yes:1, no:0)",state_of_building
RBU61969,,,Apartment,Apartment,485000.0,2.0,117.0,0,0,0,1,35.0,1,,0,New
RBU61946,,,Apartment,Apartment,328000.0,2.0,99.0,0,0,0,1,12.0,1,,0,New
RBU61941,,,Apartment,Apartment,326000.0,2.0,99.0,0,0,0,1,13.0,1,,0,New
RBU61963,,,Apartment,Apartment,285000.0,2.0,94.0,0,0,0,1,9.0,1,,0,New
RBU61939,,,Apartment,Apartment,323000.0,2.0,99.0,0,0,0,1,15.0,1,,0,New
RBU61959,,,Apartment,Apartment,233000.0,1.0,73.0,0,0,0,1,11.0,1,,0,New
RBU61943,,,Apartment,Apartment,318000.0,2.0,101.0,0,0,0,1,15.0,1,,0,New
RBU61966,,,House,Residence,327500.0,3.0,,0,0,0,0,,1,2.0,0,New
RBU61968,,,House,Residence,341000.0,3.0,,0,0,0,0,,1,3.0,0,New
RBU61962,,,Apartment,Apartment,223000.0,1.0,71.0,0,0,0,1,9.0,0,,0,New
RBU61945,,,Apartment,Apartment,333000.0,2.0,99.0,0,0,0,1,15.0,1,,0,New
RBU61948,,,House,Residence,353000.0,3.0,,0,0,0,0,,1,3.0,0,New
RBU61965,,,House,Residence,328500.0,3.0,,0,0,0,1,,1,2.0,0,New
RBU61956,,,House,Residence,331000.0,3.0,,0,0,0,0,,1,2.0,0,New
RBU61958,,,Apartment,Apartment,277000.0,2.0,88.0,0,0,0,1,12.0,1,,0,New
RBU61953,,,House,Residence,332500.0,3.0,,0,0,0,0,,1,2.0,0,New
RBU66636,,,Apartment,Apartment,244500.0,1.0,73.0,0,0,0,1,18.0,0,2.0,0,New
RBU66632,,,Apartment,Apartment,279500.0,2.0,84.0,0,0,0,1,14.0,0,2.0,0,New
RBU66635,,,Apartment,Apartment,294500.0,2.0,89.0,0,0,0,1,20.0,0,2.0,0,New
RBU66639,,,Apartment,Apartment,314500.0,2.0,97.0,0,0,0,1,14.0,0,2.0,0,New
RBU66633,,,Apartment,Apartment,349500.0,2.0,108.0,0,0,0,1,33.0,0,2.0,0,New
RBU66637,,,Apartment,Apartment,359500.0,2.0,111.0,0,0,0,1,14.0,0,2.0,0,New
RBU66640,,,Apartment,Apartment,384500.0,3.0,124.0,0,0,0,1,18.0,0,2.0,0,New
RBU66641,,,Apartment,Apartment,399500.0,3.0,124.0,0,0,0,1,18.0,0,2.0,0,New
RBU66634,,,Apartment,Apartment,414500.0,3.0,126.0,0,0,0,1,29.0,0,2.0,0,New
RBU66638,,,Apartment,Apartment,439500.0,3.0,141.0,0,0,0,1,17.0,0,2.0,0,New
RBU66642,,,House,Residence,349500.0,3.0,143.0,0,0,0,1,12.0,0,2.0,0,New
RBU65767,,,House,Residence,315000.0,4.0,209.0,0,0,0,0,,1,3.0,0,New
RBU66060,,,Apartment,Apartment,,3.0,131.0,0,0,0,1,48.0,0,4.0,0,New
RBU66058,,,Apartment,Apartment,,2.0,123.0,0,0,0,1,47.0,0,4.0,0,New
RBU66057,,,Apartment,Apartment,,2.0,121.0,0,0,0,1,19.0,0,4.0,0,New
RBU66055,,,Apartment,Apartment,,2.0,125.0,0,0,0,1,34.0,0,,0,New
RBU66063,,,Apartment,Penthouse,,2.0,117.0,0,0,0,1,20.0,0,4.0,0,New
RBU66062,,,Apartment,Penthouse,,2.0,120.0,0,0,0,1,20.0,0,4.0,0,New
RBU66061,,,Apartment,Penthouse,,2.0,120.0,0,0,0,1,19.0,0,4.0,0,New
RBU66802,,,House,Residence,369000.0,3.0,296.0,0,0,0,0,,0,3.0,0,
RBU66799,,,House,Residence,249000.0,3.0,190.0,0,0,0,0,,0,3.0,0,
RBU66717,,,House,Residence,240000.0,4.0,178.0,0,0,0,1,,1,3.0,0,
RBU66821,,,House,Residence,375000.0,3.0,279.0,0,0,0,0,,0,2.0,0,
RBU66801,,,House,Residence,795000.0,4.0,238.0,0,0,0,1,40.0,0,4.0,0,
RBU66798,,,House,Residence,565000.0,4.0,255.0,0,0,0,1,20.0,0,2.0,0,
RBK07101,,,Apartment,Apartment,262000.0,1.0,79.0,0,0,0,1,28.0,1,,0,New
RBK07099,,,Apartment,Ground floor,308000.0,2.0,98.0,0,0,0,1,17.0,1,,0,New
RBR55330,,,Apartment,Apartment,310000.0,2.0,97.0,0,0,0,1,24.0,1,,0,New
RBK07102,,,Apartment,Apartment,329000.0,2.0,104.0,0,0,0,1,35.0,1,,0,New
RBK07100,,,Apartment,Apartment,408000.0,3.0,129.0,0,0,0,1,36.0,1,,0,New
RBK07098,,,Apartment,Apartment,419000.0,3.0,129.0,0,0,0,1,23.0,1,,0,New
