property_ID,locality_name,postal_code,type,subtype,price (€),number_of_bedrooms,living_area (m²),"equiped_kitchen (yes:1, no:0)","furnished (yes:1, no:0)","open_fire (yes:1, no:0)","terrace (yes:1, no:0)",terrace_area (m²),"garden (yes:1, no:0)",number_facades,"swimming_pool (yes:1, no:0)",state_of_building
VBD45550,,6717.0,House,Residence,125000.0,3.0,98.0,0,0,0,1,18.0,1,3.0,0,To restore
VBD45195,Rue de la Gare 11 /101,6880.0,Apartment,Apartment,125000.0,2.0,99.0,1,0,0,0,,0,2.0,0,Normal
VBD46184,Rue du Musée 35,6700.0,Apartment,Apartment,339000.0,2.0,99.0,1,0,0,1,5.0,0,4.0,0,Excellent
VBD49657,Basse Cour 46,6940.0,House,Residence,,3.0,100.0,0,0,0,1,15.0,1,2.0,0,Excellent
VBD49610,Champ Colin 24 /5,6800.0,Apartment,Apartment,189000.0,3.0,80.0,1,0,0,0,,1,4.0,0,Excellent
VBD50065,Rue de la Concorde 3 1,6700.0,Apartment,Apartment,220000.0,1.0,62.0,0,0,0,0,,0,2.0,0,New
VBD49590,Tier de Rome 12,6940.0,House,Residence,530000.0,3.0,191.0,0,1,0,1,,1,,0,
VBD49860,Route de Durbuy 54,6940.0,House,Residence,375000.0,5.0,185.0,1,0,0,1,,1,4.0,0,Normal
VBD49420,Rue Saint-Roch 47,6660.0,House,Residence,130000.0,3.0,165.0,0,0,0,0,,1,,0,To renovate
VBD49716,Rue Nouvelle 50,6760.0,House,Residence,138000.0,3.0,76.0,0,0,0,0,,1,2.0,0,To be renovated
VBD49629,Villers la bonne eau 5,6600.0,House,Residence,550000.0,4.0,371.0,0,0,0,0,,0,,0,Fully renovated
VBD22082,Rue Sainte-Croix 46,6700.0,House,Residence,515000.0,4.0,212.0,1,0,0,1,20.0,1,2.0,0,Excellent
VBD49490,Mont des Chèvres 352,6717.0,Apartment,Apartment,275000.0,1.0,72.0,0,0,0,1,36.0,1,,0,
VBD44309,Chemin de Guirsch 27,6700.0,House,Residence,440000.0,4.0,145.0,1,0,1,1,32.0,1,4.0,0,To renovate
VWD15597,,6929.0,House,Residence,240000.0,2.0,174.0,0,0,0,0,,1,4.0,0,
VBA78551,Rue des Scailtons,6880.0,Apartment,Apartment,249900.0,2.0,96.0,0,0,0,1,20.0,1,,0,New
VBA78553,Rue des Scailtons,6880.0,Apartment,Duplex,299600.0,3.0,108.0,0,0,0,1,21.0,1,,0,New
VBA78552,Rue des Scailtons,6880.0,Apartment,Duplex,299600.0,3.0,108.0,0,0,0,1,23.0,1,,0,New
VBD48245,Rue des Anglières lot 3,6724.0,House,Residence,329000.0,3.0,161.0,0,0,0,1,,1,3.0,0,New
VBD48252,Rue des Anglières lot 12,6724.0,House,Residence,340000.0,3.0,120.0,0,0,0,0,,1,2.0,0,New
VBD48251,Rue des Anglières lot 11,6724.0,House,Residence,340000.0,3.0,120.0,0,0,0,0,,1,2.0,0,New
VBD48250,Rue des Anglières lot 10,6724.0,House,Residence,340000.0,3.0,120.0,0,0,0,0,,1,2.0,0,New
VBD48248,Rue des Anglières lot 16,6724.0,House,Residence,340000.0,3.0,166.0,0,0,0,1,15.0,1,2.0,0,New
VBD48247,Rue des Anglières lot 15,6724.0,House,Residence,340000.0,3.0,161.0,0,0,0,1,13.0,1,2.0,0,New
VBD48244,Rue des Anglières lot 2,6724.0,House,Residence,345000.0,3.0,166.0,0,0,0,1,14.0,1,3.0,0,New
VBD48249,Rue des Anglières lot 17,6724.0,House,Residence,362000.0,3.0,199.0,0,0,0,1,14.0,1,3.0,0,New
VBD48254,Rue des Anglières lot 13,6724.0,House,Residence,369000.0,3.0,141.0,0,0,0,0,,1,3.0,0,New
VBD48246,Rue des Anglières lot 14,6724.0,House,Residence,369000.0,3.0,194.0,0,0,0,1,14.0,1,3.0,0,New
VBD50062,Route de Longwy,6700.0,House,Residence,429000.0,3.0,128.0,0,0,0,0,,0,2.0,0,New
VBB80982,Dessous la Ville,6800.0,House,Residence,369900.0,4.0,155.0,0,0,0,1,6.0,1,3.0,0,New
VWD00690,Hameau de Borzée,6980.0,House,Chalet,337527.0,2.0,122.0,1,0,0,1,12.0,0,3.0,0,New
VBD48225,Lenclos 38A,6740.0,Apartment,Apartment,338847.0,2.0,86.0,0,0,0,1,5331.0,1,2.0,0,
VBD49161,,6690.0,House,Residence,149000.0,2.0,115.0,0,0,0,1,10.0,1,4.0,0,To be renovated
VBD48236,Rue de Rodange 156 1,6791.0,Apartment,Apartment,235000.0,2.0,92.0,0,0,0,0,,0,,0,Normal
VBD48220,Dessous la Ville,6800.0,House,Residence,369900.0,4.0,155.0,0,0,0,1,6.0,1,3.0,0,
VBD48877,Rue de Gedinne 29,6929.0,House,Residence,195000.0,5.0,180.0,0,0,0,1,17.0,1,3.0,0,To be renovated
VBD48428,Rue François Bovesse 28,6700.0,House,Residence,420000.0,3.0,143.0,1,0,1,1,40.0,1,3.0,0,Normal
VBD48544,Rue Saint-Gobert 3,6900.0,House,Residence,210000.0,4.0,155.0,1,0,0,1,40.0,1,3.0,0,Normal
VBD48226,Rue Neuve,6747.0,House,Residence,399900.0,3.0,147.0,1,0,0,1,9.0,1,3.0,0,
VBD48059,Place de Salm 2,6690.0,Apartment,Penthouse,519000.0,0.0,138.0,0,0,0,0,,0,,0,Normal
VBD48741,Rue du Général Molitor 8,6700.0,Apartment,Apartment,359900.0,2.0,100.0,0,0,0,1,,0,2.0,0,
VBD48493,Rue de Waillimont 15,6887.0,House,Residence,449000.0,3.0,238.0,0,0,0,1,15.0,1,4.0,0,Excellent
VBD48649,Rue des Sapins 48,6997.0,House,Residence,255000.0,2.0,95.0,0,0,0,1,,1,4.0,0,
VBD48542,Rue des Hollines 4,6860.0,House,Residence,348500.0,3.0,238.0,1,0,0,1,93.0,1,3.0,0,Normal
VBD48492,Rue de la Falize 6,6680.0,House,Residence,299000.0,3.0,239.0,0,0,0,1,40.0,1,4.0,0,Normal
VBD48237,Rentertkapell 69,6700.0,House,Residence,695000.0,3.0,193.0,0,0,0,1,60.0,1,4.0,1,Normal
VBD49026,,6760.0,House,Residence,,5.0,265.0,0,1,0,1,50.0,1,4.0,1,
VBD47492,Rue Principale 25,6953.0,House,Residence,230000.0,3.0,180.0,0,0,0,1,,1,4.0,0,To be renovated
VBD47356,Rue de Haute Tahée 19,6951.0,House,Residence,475000.0,5.0,185.0,0,0,0,1,,1,4.0,0,Normal
VBD47901,Rue du Wäschbour 24 3.05,6700.0,Apartment,Apartment,259000.0,1.0,83.0,0,0,0,1,5.0,0,2.0,0,Excellent
VBD47429,Clos du Manoir 2 A,6940.0,House,Residence,415000.0,4.0,240.0,1,0,0,1,,1,3.0,0,Normal
VBD47661,Rue Georges Prat 43,6700.0,House,Residence,500000.0,3.0,210.0,0,0,0,1,,1,4.0,0,Normal
VBD47808,Rue Nizette 2,6790.0,Apartment,Apartment,245000.0,2.0,78.0,0,0,0,0,,0,4.0,0,Normal
VBD47473,Rue des Mésanges 8,6800.0,House,Villa,495000.0,5.0,,0,0,0,1,,1,4.0,0,Normal
VBD47512,Rue Fosse Roulette 12,6690.0,House,Residence,280000.0,7.0,672.0,0,0,0,1,,0,,0,To be renovated
VBD47392,Rue de Bastogne 25,6640.0,Apartment,Apartment,229900.0,2.0,89.0,0,0,0,1,6.0,1,,0,
