property_ID,locality_name,postal_code,type,subtype,price (€),number_of_bedrooms,living_area (m²),"equiped_kitchen (yes:1, no:0)","furnished (yes:1, no:0)","open_fire (yes:1, no:0)","terrace (yes:1, no:0)",terrace_area (m²),"garden (yes:1, no:0)",number_facades,"swimming_pool (yes:1, no:0)",state_of_building
VBD45575,,5660.0,House,Villa,315000.0,4.0,125.0,0,0,1,1,,0,,0,Fully renovated
VBD46459,,5500.0,House,Residence,259000.0,3.0,125.0,1,0,0,1,32.0,0,2.0,0,Fully renovated
VBD45300,Rue Marcel Warnier 12,5070.0,House,Villa,279000.0,3.0,153.0,1,0,0,1,,1,4.0,0,Excellent
VBD45568,,5660.0,House,Residence,990000.0,29.0,2350.0,0,0,0,0,,0,,0,
VBD45573,,5660.0,House,Residence,344500.0,4.0,143.0,0,0,0,0,,0,,0,
VBD45570,,5670.0,House,Residence,290000.0,5.0,340.0,0,0,0,0,,1,,0,
VBD46238,Domaine du Bois Gilet 42,5300.0,House,Residence,299500.0,3.0,170.0,0,0,0,1,15.0,1,3.0,0,
VBD42885,Rue de Branchon 129,5380.0,House,Residence,895000.0,4.0,282.0,1,0,0,1,43.0,1,4.0,0,Excellent
VBD46729,Grand Route 35,5380.0,House,Residence,175000.0,3.0,133.0,0,0,0,1,15.0,1,3.0,0,
VBD45580,,5660.0,House,Residence,525000.0,4.0,240.0,0,0,1,1,,0,,0,Excellent
VBD47182,,5621.0,House,Residence,150000.0,6.0,185.0,1,0,0,1,17.0,0,2.0,0,Normal
VBD46276,Rue de l'Eglise 40/2,5170.0,Apartment,Apartment,295000.0,2.0,104.0,0,0,0,1,25.0,1,2.0,0,
VBD45258,,5544.0,House,Residence,189000.0,3.0,81.0,1,0,0,1,35.0,1,3.0,0,Normal
VBD47422,Route d'Eghezée 103,5190.0,House,Residence,195000.0,2.0,143.0,1,0,0,0,,1,4.0,0,To renovate
VBD45572,,5660.0,House,Bungalow,99000.0,2.0,85.0,0,0,0,0,,1,,0,
VBD44209,Rue du Moulin Lavigne 31,5000.0,Apartment,Apartment,240471.0,2.0,78.0,0,0,0,1,9.0,0,,0,New
VBD44210,Rue du Moulin Lavigne 31,5000.0,Apartment,Apartment,241471.0,2.0,78.0,0,0,0,1,9.0,0,,0,New
VBD44208,Rue du Moulin Lavigne 31,5000.0,Apartment,Apartment,247471.0,2.0,78.0,0,0,0,1,9.0,0,,0,New
VBD44206,Rue du Moulin Lavigne 31,5000.0,Apartment,Apartment,249471.0,2.0,78.0,0,0,0,1,9.0,0,,0,New
VBD44211,Rue du Moulin Lavigne 31,5000.0,Apartment,Apartment,258471.0,2.0,78.0,0,0,0,1,9.0,0,,0,New
VBD44212,Rue du Moulin Lavigne 31,5000.0,Apartment,Apartment,270471.0,2.0,79.0,0,0,0,1,19.0,0,,0,New
VBA67634,,5190.0,House,Residence,,3.0,212.0,0,0,0,1,,1,3.0,0,New
VBB89498,Rue Dachelet 32,5380.0,House,Residence,400000.0,3.0,195.0,0,0,0,1,,1,3.0,0,New
VBD49339,,5170.0,Apartment,Apartment,375000.0,2.0,113.0,0,0,0,1,,1,,0,
VBD49340,,5170.0,Apartment,Apartment,450000.0,3.0,140.0,0,0,0,1,18.0,0,,0,
VBB21579,Clos de Maillen 10,5350.0,House,Residence,331304.0,3.0,140.0,1,0,0,0,,1,,0,New
VBB21580,Clos de Maillen 11,5350.0,House,Residence,321321.0,3.0,137.0,1,0,0,0,,1,4.0,0,New
VBB21578,Clos de Maillen 9,5350.0,House,Residence,326383.0,3.0,140.0,1,0,0,0,,1,3.0,0,New
