property_ID,locality_name,postal_code,type,subtype,price (€),number_of_bedrooms,living_area (m²),"equiped_kitchen (yes:1, no:0)","furnished (yes:1, no:0)","open_fire (yes:1, no:0)","terrace (yes:1, no:0)",terrace_area (m²),"garden (yes:1, no:0)",number_facades,"swimming_pool (yes:1, no:0)",state_of_building
RBU62390,Steenstraat 86,8800.0,House,Residence,279000.0,4.0,148.0,0,0,0,0,,1,2.0,0,
RBU62532,Het Putje 12,8560.0,House,Residence,378000.0,3.0,143.0,0,0,0,1,,1,2.0,0,
RBU61275,Jan Breydelstraat 2,8530.0,House,Residence,265000.0,2.0,140.0,0,0,0,1,,1,,0,
RBU62561,,8552.0,House,Residence,345000.0,3.0,184.0,0,0,0,1,15.0,1,2.0,0,
RBU62147,,8370.0,House,Residence,449000.0,3.0,155.0,0,0,0,1,,1,4.0,0,
RBU62613,Kerkplein - Burg Joseph Lievensstraat,8210.0,Apartment,Apartment,350000.0,2.0,91.0,0,0,0,1,14.0,0,,0,
RWC41138,Hoogweg 20,8940.0,House,Residence,249000.0,5.0,180.0,1,0,0,1,,1,2.0,0,Fully renovated
RWC41129,Vogelzang 12,8930.0,House,Bungalow,250000.0,3.0,173.0,1,0,1,1,,1,2.0,0,Normal
RBU61513,Fincentlaan 11,8300.0,Apartment,Apartment,437000.0,1.0,67.0,0,0,0,1,10.0,0,,0,
RBU62084,,8551.0,House,Residence,174000.0,5.0,234.0,0,0,0,0,,1,3.0,0,
RBU64277,Berkenhagestraat 35-37 00.01,8210.0,Apartment,Apartment,235000.0,1.0,56.0,0,0,0,1,,0,,0,New
RBU64281,Berkenhagestraat 35-37 01.03,8210.0,Apartment,Apartment,319500.0,2.0,75.0,0,0,0,1,,0,,0,New
RBU64283,Berkenhagestraat 35-37 02.02,8210.0,Apartment,Apartment,335500.0,2.0,94.0,0,0,0,1,,0,,0,New
RBU64280,Berkenhagestraat 35-37 01.02,8210.0,Apartment,Apartment,349500.0,2.0,86.0,0,0,0,1,,0,,0,New
RBU64282,Berkenhagestraat 35-37 02.01,8210.0,Apartment,Apartment,365000.0,2.0,102.0,0,0,0,1,,0,,0,New
RBU64279,Berkenhagestraat 35-37 01.01,8210.0,Apartment,Apartment,379000.0,2.0,90.0,0,0,0,1,,0,,0,New
RBU64278,Berkenhagestraat 35-37 00.02,8210.0,Apartment,Apartment,379000.0,2.0,93.0,0,0,0,1,,1,,0,New
RBU65178,Statiestraat 19 0202,8630.0,Apartment,Apartment,325000.0,2.0,98.0,0,0,0,1,,0,,0,
RBU65180,Statiestraat 19 0301,8630.0,Apartment,Apartment,520000.0,2.0,123.0,0,0,0,1,,0,,0,
RBU65177,Statiestraat 19,8630.0,Apartment,Apartment,330000.0,2.0,98.0,0,0,0,1,,0,,0,
RBU65176,Statiestraat 19,8630.0,Apartment,Apartment,365000.0,2.0,109.0,0,0,0,1,,0,,0,
RBU65175,Statiestraat 19,8630.0,Apartment,Apartment,335000.0,2.0,109.0,0,0,0,1,,1,,0,
RBU65179,Statiestraat 19 0201,8630.0,Apartment,Apartment,325000.0,2.0,95.0,0,0,0,1,,0,,0,
RBU65174,Statiestraat 19,8630.0,Apartment,Apartment,355000.0,3.0,117.0,0,0,0,1,,1,,0,
RBU64284,Veldstraat 42,8480.0,House,Residence,412248.0,3.0,188.0,0,0,0,1,,1,3.0,0,New
RBU65093,Albert I laan 37 0005,8620.0,Apartment,Apartment,325000.0,1.0,67.0,0,0,0,1,,1,,0,
RBU65111,Albert I laan 37 0202,8620.0,Apartment,Apartment,345000.0,1.0,67.0,0,0,0,1,,0,,0,
RBU65101,Albert I laan 37 0102,8620.0,Apartment,Apartment,335000.0,1.0,67.0,0,0,0,1,,0,,0,
RBU65096,Albert I laan 37 0008,8620.0,Apartment,Apartment,310000.0,2.0,73.0,0,0,0,1,,1,,0,
RBU65095,Albert I laan 37 0007,8620.0,Apartment,Apartment,310000.0,2.0,71.0,0,0,0,1,,1,,0,
RBU65104,Albert I laan 37 0105,8620.0,Apartment,Apartment,320000.0,2.0,73.0,0,0,0,1,,0,,0,
RBU65103,Albert I laan 37 0104,8620.0,Apartment,Apartment,320000.0,2.0,71.0,0,0,0,1,,0,,0,
RBU65106,Albert I laan 37 0107,8620.0,Apartment,Apartment,325000.0,2.0,75.0,0,0,0,1,,0,,0,
RBU65097,Albert I laan 37 0009,8620.0,Apartment,Apartment,325000.0,2.0,72.0,0,0,0,1,,1,,0,
RBU65114,Albert I laan 37 0205,8620.0,Apartment,Apartment,330000.0,2.0,73.0,0,0,0,1,,0,,0,
RBU65113,Albert I laan 37 0204,8620.0,Apartment,Apartment,330000.0,2.0,71.0,0,0,0,1,,0,,0,
RBU65115,Albert I laan 37 0206,8620.0,Apartment,Apartment,335000.0,2.0,72.0,0,0,0,1,,0,,0,
RBU65099,Albert I laan 37 0011,8620.0,Apartment,Apartment,335000.0,2.0,71.0,0,0,0,1,,1,,0,
RBU65089,Albert I laan 37 0001,8620.0,Apartment,Apartment,395000.0,2.0,79.0,0,0,0,1,,1,,0,
RBU65091,Albert I laan 37 0003,8620.0,Apartment,Apartment,415000.0,2.0,85.0,0,0,0,1,,1,,0,
RBU65090,Albert I laan 37 0002,8620.0,Apartment,Apartment,445000.0,2.0,93.0,0,0,0,1,,1,,0,
RBU65092,Albert I laan 37 0004,8620.0,Apartment,Apartment,450000.0,2.0,92.0,0,0,0,1,,1,,0,
RBU65094,Albert I laan 37 0006,8620.0,Apartment,Apartment,455000.0,2.0,94.0,0,0,0,1,,1,,0,
RBU65124,Albert I laan 37 0304,8620.0,Apartment,Apartment,545000.0,2.0,127.0,0,0,0,1,,0,,0,
RBU65125,Albert I laan 37 0305,8620.0,Apartment,Apartment,555000.0,2.0,122.0,0,0,0,1,,0,,0,
RBU65133,Albert I laan 37 0109,8620.0,Apartment,Apartment,415000.0,2.0,81.0,0,0,0,1,,0,,0,
RBU65127,Albert I laan 37 0311,8620.0,Apartment,Apartment,445000.0,2.0,84.0,0,0,0,1,,0,,0,
RBU65126,Albert I laan 37 0306,8620.0,Apartment,Apartment,350000.0,2.0,75.0,0,0,0,1,,0,,0,
RBU65122,Albert I laan 37 0302,8620.0,Apartment,Apartment,530000.0,2.0,118.0,0,0,0,1,,0,,0,
RBU65120,Albert I laan 37 0211,8620.0,Apartment,Apartment,435000.0,2.0,85.0,0,0,0,1,,0,,0,
RBU65119,Albert I laan 37 0210,8620.0,Apartment,Apartment,465000.0,2.0,93.0,0,0,0,1,,0,,0,
RBU65118,Albert I laan 37 0209,8620.0,Apartment,Apartment,425000.0,2.0,81.0,0,0,0,1,,0,,0,
RBU65117,Albert I laan 37 0208,8620.0,Apartment,Apartment,345000.0,2.0,72.0,0,0,0,1,,0,,0,
RBU65116,Albert I laan 37 0207,8620.0,Apartment,Apartment,335000.0,2.0,75.0,0,0,0,1,,0,,0,
RBU65112,Albert I laan 37 0203,8620.0,Apartment,Apartment,475000.0,2.0,92.0,0,0,0,1,,0,,0,
RBU65110,Albert I laan 37 0201,8620.0,Apartment,Apartment,470000.0,2.0,92.0,0,0,0,1,,0,,0,
RBU65108,Albert I laan 37 0110,8620.0,Apartment,Apartment,455000.0,2.0,93.0,0,0,0,1,,0,,0,
RBU65107,Albert I laan 37 0108,8620.0,Apartment,Apartment,335000.0,2.0,72.0,0,0,0,1,,0,,0,
RBU65105,Albert I laan 37 0106,8620.0,Apartment,Apartment,325000.0,2.0,72.0,0,0,0,1,,0,,0,
RBU65102,Albert I laan 37 0103,8620.0,Apartment,Apartment,465000.0,2.0,92.0,0,0,0,1,,0,,0,
RBU65100,Albert I laan 37 0101,8620.0,Apartment,Apartment,460000.0,2.0,92.0,0,0,0,1,,0,,0,
RBU65098,Albert I laan 37 0010,8620.0,Apartment,Apartment,315000.0,2.0,75.0,0,0,0,1,,1,,0,
