property_ID,locality_name,postal_code,type,subtype,price (€),number_of_bedrooms,living_area (m²),"equiped_kitchen (yes:1, no:0)","furnished (yes:1, no:0)","open_fire (yes:1, no:0)","terrace (yes:1, no:0)",terrace_area (m²),"garden (yes:1, no:0)",number_facades,"swimming_pool (yes:1, no:0)",state_of_building
RBU62593,Veerstraat,2840,Apartment,Apartment,264700,,,0,0,0,0,,0,,0,
RBU61001,Nieuwstraat 13,2200,House,Residence,425000,,,0,0,0,0,,0,,0,
RBU60944,Generaal van der Meerschstraat 85 2,2300,Apartment,Apartment,180000,,,0,0,0,0,,0,,0,
RBU60928,Broekstraat 33,2480,House,Residence,245000,,,0,0,0,0,,0,,0,
RBU60881,Kapelstraat 112,2840,House,Residence,309000,,,0,0,0,0,,0,,0,
RBU60880,Maurits Sabbestraat 4 202,2800,Apartment,Apartment,329000,,,0,0,0,0,,0,,0,
RBU60705,Winkelomseheide 158,2440,Apartment,Apartment,290000,,,0,0,0,0,,0,,0,
RBU61969,Gelatineboulevard 4,3500,Apartment,Apartment,485000,,,0,0,0,0,,0,,0,
RBU61968,Tuitknak 9,3900,House,Residence,341000,,,0,0,0,0,,0,,0,
RBU61966,Tuitknak 3,3900,House,Residence,327500,,,0,0,0,0,,0,,0,
RBU61965,Tuitknak 7,3900,House,Residence,328500,,,0,0,0,0,,0,,0,
RBU61963,Willem Ii-Straat 43D,3900,Apartment,Apartment,285000,,,0,0,0,0,,0,,0,
RBU61962,Willem Ii-Straat 43D,3900,Apartment,Apartment,223000,,,0,0,0,0,,0,,0,
RBU61959,Willem Ii-Straat 43D,3900,Apartment,Apartment,233000,,,0,0,0,0,,0,,0,
RBU61958,Willem Ii-Straat 43D,3900,Apartment,Apartment,277000,,,0,0,0,0,,0,,0,
RBU61956,Willem Ii-Straat 43B,3900,House,Residence,331000,,,0,0,0,0,,0,,0,
RBU61953,Tuitknak 21,3900,House,Residence,332500,,,0,0,0,0,,0,,0,
RBU61948,Tuitknak 11,3900,House,Residence,353000,,,0,0,0,0,,0,,0,
RBU61946,Tuitknak 25,3900,Apartment,Apartment,328000,,,0,0,0,0,,0,,0,
RBU61945,Tuitknak 25,3900,Apartment,Apartment,333000,,,0,0,0,0,,0,,0,
RBU61943,Tuitknak 25,3900,Apartment,Apartment,318000,,,0,0,0,0,,0,,0,
RBU61941,Tuitknak 25,3900,Apartment,Apartment,326000,,,0,0,0,0,,0,,0,
RBU61939,Tuitknak 25,3900,Apartment,Apartment,323000,,,0,0,0,0,,0,,0,
RBU63087,Langestraat 31,9688,House,Mixed building,650000,,,0,0,0,0,,0,,0,
RBU62977,Heufkensstraat 138,9630,House,Residence,169000,,,0,0,0,0,,0,,0,
RBU62441,Brakelsesteenweg 654,9400,House,Residence,549000,,,0,0,0,0,,0,,0,
RBU61997,Langestraat 86,9150,House,Residence,298000,,,0,0,0,0,,0,,0,
RBU61494,Ressegemstraat 165,9550,House,Residence,379000,,,0,0,0,0,,0,,0,
RBU61377,Buiskouter,9800,House,Residence,445000,,,0,0,0,0,,0,,0,
VBD47309,Rijmelgem 10,1932,Apartment,Apartment,275000,,,0,0,0,0,,0,,0,
VBD46490,,3090,House,Residence,420000,,,0,0,0,0,,0,,0,
RBU60687,Henri Caronstraat 12 2,1560,Apartment,Apartment,229000,,,0,0,0,0,,0,,0,
RBU66470,Notkerhof 9,1930,House,Residence,825000,,,0,0,0,0,,0,,0,
VBD49694,Private Dreef 1,1860,House,Villa,480000,,,0,0,0,0,,0,,0,
VBD49674,,1970,House,Villa,1200000,,,0,0,0,0,,0,,0,
RBU66385,Bloklaan 1,1730,House,Residence,430000,,,0,0,0,0,,0,,0,
RBU66333,Gijmelstraat 56,3200,House,Residence,329000,,,0,0,0,0,,0,,0,
VBD49627,Grootheideweg 9,1650,House,Residence,575000,,,0,0,0,0,,0,,0,
RBU66328,Dorpsstraat - Rue Du Village 5 B 102,1640,Apartment,Duplex,490000,,,0,0,0,0,,0,,0,
RBU66324,Putsebaan 17 1,3140,Apartment,Penthouse,380000,,,0,0,0,0,,0,,0,
RBU66323,Tremelobaan 68 4,3140,Apartment,Penthouse,450000,,,0,0,0,0,,0,,0,
RBU66164,Bunderstraat 125,1745,House,Residence,315000,,,0,0,0,0,,0,,0,
RBU62613,Kerkplein - Burg Joseph Lievensstraat,8210,Apartment,Apartment,350000,,,0,0,0,0,,0,,0,
RBU62561,,8552,House,Residence,345000,,,0,0,0,0,,0,,0,
RBU62532,Het Putje 12,8560,House,Residence,378000,,,0,0,0,0,,0,,0,
RBU62390,Steenstraat 86,8800,House,Residence,279000,,,0,0,0,0,,0,,0,
RBU62147,,8370,House,Residence,449000,,,0,0,0,0,,0,,0,
RBU62084,,8551,House,Residence,174000,,,0,0,0,0,,0,,0,
RBU61513,Fincentlaan 11,8300,Apartment,Apartment,437000,,,0,0,0,0,,0,,0,
RWC41138,Hoogweg 20,8940,House,Residence,249000,,,0,0,0,0,,0,,0,
RBU61275,Jan Breydelstraat 2,8530,House,Residence,265000,,,0,0,0,0,,0,,0,
RWC41129,Vogelzang 12,8930,House,Bungalow,250000,,,0,0,0,0,,0,,0,
RBU60582,Prins Albertplein 12 01,8670,Apartment,Apartment,520000,,,0,0,0,0,,0,,0,
VWD15538,Chaussée de Mons 165,7180,House,Villa,410000,,,0,0,0,0,,0,,0,
RBU63284,,7090,House,Residence,750000,,,0,0,0,0,,0,,0,
VBD47252,Rue Achille Chavée 50 1B,7100,Apartment,Apartment,175000,,,0,0,0,0,,0,,0,
RBU62400,,6560,House,Residence,80000,,,0,0,0,0,,0,,0,
RBU62399,,7000,House,Residence,195000,,,0,0,0,0,,0,,0,
VBD46983,Rue Albert 1er 190,6240,House,Residence,129000,,,0,0,0,0,,0,,0,
VBD46872,,6560,House,Residence,158000,,,0,0,0,0,,0,,0,
VBD46869,,6560,House,Residence,125000,,,0,0,0,0,,0,,0,
VBD46833,Rue Paradis des Chevaux 105,6060,House,Residence,229000,,,0,0,0,0,,0,,0,
VBD46619,rue Longue 6,6200,House,Residence,349000,,,0,0,0,0,,0,,0,
RBU61388,Rue de la Révolution 73,6040,House,Residence,135000,,,0,0,0,0,,0,,0,
VBD46457,Rue fernand vinet 30,7060,House,Master house,480000,,,0,0,0,0,,0,,0,
VBD46156,Rue du Chêne Bonnet 173,6110,House,Villa,229000,,,0,0,0,0,,0,,0,
VBD46079,Rue d'Horrues 103,7090,House,Residence,225000,,,0,0,0,0,,0,,0,
VBD45817,Rue du Seigneur 21 C,6540,House,Villa,345000,,,0,0,0,0,,0,,0,
VBD45814,Square de l'Europe 7,7022,House,Residence,345000,,,0,0,0,0,,0,,0,
VBD45833,Rue Jehoge 10 A,4190,House,Residence,175000,,,0,0,0,0,,0,,0,
VBD44721,Rue de Buay 32,4219,House,Residence,475000,,,0,0,0,0,,0,,0,
VBD32524,Rue Marcel-Remy 12,4030,House,Residence,350000,,,0,0,0,0,,0,,0,
VWD15127,Zur Kaiserbaracke 13,4780,House,Residence,,,,0,0,0,0,,0,,0,
VBD44032,,4053,Apartment,Apartment,95000,,,0,0,0,0,,0,,0,
VBD46184,Rue du Musée 35,6700,Apartment,Apartment,339000,,,0,0,0,0,,0,,0,
VBD45653,Rue de Bastogne 85,6700,Apartment,Apartment,319000,,,0,0,0,0,,0,,0,
VBD45550,,6717,House,Residence,125000,,,0,0,0,0,,0,,0,
VBD22082,Rue Sainte-Croix 46,6700,House,Residence,515000,,,0,0,0,0,,0,,0,
VBD45195,Rue de la Gare 11 /101,6880,Apartment,Apartment,125000,,,0,0,0,0,,0,,0,
VBD44309,Chemin de Guirsch 27,6700,House,Residence,440000,,,0,0,0,0,,0,,0,
VBD49688,Rue Nouvelle 50,6760,House,Residence,138000,,,0,0,0,0,,0,,0,
VBD49657,Basse Cour 46,6940,House,Residence,,,,0,0,0,0,,0,,0,
VBD49629,Villers la bonne eau 5,6600,House,Residence,550000,,,0,0,0,0,,0,,0,
VBD49610,Champ Colin 24 /5,6800,Apartment,Apartment,189000,,,0,0,0,0,,0,,0,
VBD49590,Tier de Rome 12,6940,House,Residence,530000,,,0,0,0,0,,0,,0,
VBD49490,Mont des Chèvres 352,6717,Apartment,Apartment,275000,,,0,0,0,0,,0,,0,
VBD49420,Rue Saint-Roch 47,6660,House,Residence,130000,,,0,0,0,0,,0,,0,
VBD49161,,6690,House,Residence,149000,,,0,0,0,0,,0,,0,
VBD49026,,6760,House,Residence,,,,0,0,0,0,,0,,0,
VBD48877,Rue de Gedinne 29,6929,House,Residence,195000,,,0,0,0,0,,0,,0,
VBD47422,Route d'Eghezée 103,5190,House,Residence,195000,,,0,0,0,0,,0,,0,
VBD47182,,5621,House,Residence,150000,,,0,0,0,0,,0,,0,
VBD46729,Grand Route 35,5380,House,Residence,175000,,,0,0,0,0,,0,,0,
VBD46459,,5500,House,Residence,259000,,,0,0,0,0,,0,,0,
VBD46276,Rue de l'Eglise 40/2,5170,Apartment,Apartment,295000,,,0,0,0,0,,0,,0,
VBD46238,Domaine du Bois Gilet 42,5300,House,Residence,299500,,,0,0,0,0,,0,,0,
VBD45580,,5660,House,Residence,525000,,,0,0,0,0,,0,,0,
VBD45575,,5660,House,Villa,315000,,,0,0,0,0,,0,,0,
VBD45573,,5660,House,Residence,344500,,,0,0,0,0,,0,,0,
VBD45572,,5660,House,Bungalow,99000,,,0,0,0,0,,0,,0,
VBD45570,,5670,House,Residence,290000,,,0,0,0,0,,0,,0,
VBD45568,,5660,House,Residence,990000,,,0,0,0,0,,0,,0,
VBD45300,Rue Marcel Warnier 12,5070,House,Villa,279000,,,0,0,0,0,,0,,0,
VBD45258,,5544,House,Residence,189000,,,0,0,0,0,,0,,0,
VBD44931,Rue Patenier 24,5000,Apartment,Apartment,135000,,,0,0,0,0,,0,,0,
VBD47093,,1480,Apartment,Apartment,271434,,,0,0,0,0,,0,,0,
VBD47092,,1480,Apartment,Apartment,319098,,,0,0,0,0,,0,,0,
VBD47091,,1480,Apartment,Apartment,238540,,,0,0,0,0,,0,,0,
