property_ID,locality_name,postal_code,type,subtype,price (€),number_of_bedrooms,living_area (m²),"equiped_kitchen (yes:1, no:0)","furnished (yes:1, no:0)","open_fire (yes:1, no:0)","terrace (yes:1, no:0)",terrace_area (m²),"garden (yes:1, no:0)",number_facades,"swimming_pool (yes:1, no:0)",state_of_building
VBD46276,Rue de l'Eglise 40/2,5170,Apartment,Apartment,295000.0,2.0,104.0,0,0,0,1,25.0,1,2.0,0,
VBD45573,,5660,House,Residence,344500.0,4.0,143.0,0,0,0,0,,0,,0,
VBD30279,,5000,Apartment,Studio,65000.0,,,0,0,0,0,,0,,0,To be renovated
VBD46729,Grand Route 35,5380,House,Residence,175000.0,3.0,133.0,0,0,0,1,15.0,1,3.0,0,
VBD45580,,5660,House,Residence,525000.0,4.0,240.0,0,0,1,1,,0,,0,Excellent
VBD46459,,5500,House,Residence,259000.0,3.0,125.0,1,0,0,1,32.0,0,2.0,0,Fully renovated
VBD45258,,5544,House,Residence,189000.0,3.0,81.0,1,0,0,1,35.0,1,3.0,0,Normal
VBD46238,Domaine du Bois Gilet 42,5300,House,Residence,299500.0,3.0,170.0,0,0,0,1,15.0,1,3.0,0,
VBD45570,,5670,House,Residence,290000.0,5.0,340.0,0,0,0,0,,1,,0,
VBD45575,,5660,House,Villa,315000.0,4.0,125.0,0,0,1,1,,0,,0,Fully renovated
VBD45568,,5660,House,Residence,990000.0,29.0,2350.0,0,0,0,0,,0,,0,
VBD45300,Rue Marcel Warnier 12,5070,House,Villa,279000.0,3.0,153.0,1,0,0,1,,1,4.0,0,Excellent
VBD47182,,5621,House,Residence,150000.0,6.0,185.0,1,0,0,1,17.0,0,2.0,0,Normal
VBD47422,Route d'Eghezée 103,5190,House,Residence,195000.0,2.0,143.0,1,0,0,0,,1,4.0,0,To renovate
VBD44209,Rue du Moulin Lavigne 31,5000,Apartment,Apartment,240471.0,2.0,78.0,0,0,0,1,9.0,0,,0,New
VBD44210,Rue du Moulin Lavigne 31,5000,Apartment,Apartment,241471.0,2.0,78.0,0,0,0,1,9.0,0,,0,New
