property_ID,locality_name,postal_code,type,subtype,price (€),number_of_bedrooms,living_area (m²),"equiped_kitchen (yes:1, no:0)","furnished (yes:1, no:0)","open_fire (yes:1, no:0)","terrace (yes:1, no:0)",terrace_area (m²),"garden (yes:1, no:0)",number_facades,"swimming_pool (yes:1, no:0)",state_of_building
RBU66900,Boomgaardweg 51A,1640,Apartment,Apartment,395000.0,2.0,,0,0,0,0,,0,,0,Excellent
VBD47309,Rijmelgem 10,1932,Apartment,Apartment,275000.0,2.0,74.0,1,0,0,1,2.0,0,2.0,0,Normal
RBU66873,Oudebaan 25,1790,House,Residence,345000.0,3.0,150.0,1,0,0,1,20.0,1,3.0,0,To renovate
VBD49881,,1853,Apartment,Apartment,335000.0,3.0,120.0,0,0,0,1,14.0,0,2.0,0,
RBU60687,Henri Caronstraat 12 2,1560,Apartment,Apartment,229000.0,1.0,66.0,0,0,0,1,26.0,0,,0,
VBD46490,,3090,House,Residence,420000.0,3.0,189.0,1,0,0,1,,1,4.0,0,
VWD15603,Mechelsesteenweg 41A,1800,Apartment,Loft,340000.0,2.0,100.0,0,0,0,1,10.0,0,,0,Excellent
RBU66914,Zwaluwweg 41,3140,House,Villa,625000.0,4.0,245.0,0,0,0,0,,0,4.0,0,
RBU66896,Oude Mechelsebaan 721A,3200,House,Residence,449000.0,4.0,257.0,1,0,0,1,,1,3.0,0,Excellent
RBU66854,Willem de Zwijgerlaan 14,1860,House,Residence,495000.0,3.0,165.0,0,0,0,0,,0,,0,Normal
RBU66875,Warandeweg 18,1980,House,Residence,329000.0,3.0,115.0,1,0,0,0,,1,4.0,0,To be renovated
RBU66884,Kastanjedreef 27,3090,House,Residence,895000.0,4.0,200.0,0,0,0,1,35.0,1,4.0,0,Normal
RBU66853,Grimbergsesteenweg 95,1800,House,Residence,415000.0,4.0,160.0,0,0,0,1,,1,,0,Fully renovated
RBU62452,,1700,House,Residence,599029.0,3.0,139.0,0,0,0,1,,1,2.0,0,New
RBU62454,,1700,House,Residence,638797.0,3.0,139.0,0,0,0,1,,1,2.0,0,New
RBU62447,,1700,House,Residence,640504.0,3.0,134.0,0,0,0,1,,1,2.0,0,New
RBU62455,,1700,House,Residence,643495.0,3.0,139.0,0,0,0,1,,1,2.0,0,New
RBU62453,,1700,House,Residence,710859.0,3.0,139.0,0,0,0,1,,1,2.0,0,New
RBU62448,,1700,House,Residence,725162.0,3.0,141.0,0,0,0,1,,1,2.0,0,New
RBU62449,,1700,House,Residence,795405.0,3.0,141.0,0,0,0,1,,1,2.0,0,New
RBU32991,,1700,House,Residence,,3.0,141.0,0,0,0,0,,1,4.0,0,New
RBU32989,,1700,House,Residence,,3.0,139.0,0,0,0,0,,1,4.0,0,New
RBU55912,Tiensebaan 71,3461,House,Residence,389000.0,3.0,172.0,0,0,0,1,,1,3.0,0,New
RBU55915,Tiensebaan 71,3461,House,Residence,395000.0,3.0,168.0,0,0,0,1,,1,3.0,0,New
RBU55914,Tiensebaan 71,3461,House,Residence,403500.0,4.0,154.0,0,0,0,1,,1,3.0,0,New
RBU55913,Tiensebaan 71,3461,House,Residence,415000.0,4.0,169.0,0,0,0,1,,1,3.0,0,New
RBU65253,sint-jansbersteenweg,3050,House,Residence,735000.0,4.0,251.0,0,0,0,0,,1,3.0,0,New
RBU65252,sint-jansbersteenweg,3050,House,Residence,785000.0,4.0,271.0,0,0,0,0,,1,3.0,0,
RBU65918,Koning Albertstraat 03,1785,Apartment,Apartment,335000.0,2.0,87.0,0,0,0,1,14.0,1,4.0,0,Excellent
RBU65919,Koning Albertstraat 05,1785,Apartment,Apartment,349000.0,2.0,91.0,0,0,0,1,13.0,1,4.0,0,Excellent
RBU65924,Koning Albertstraat 16,1785,Apartment,Apartment,354000.0,2.0,94.0,0,0,0,1,8.0,1,4.0,0,Excellent
RBU65920,Koning Albertstraat 09,1785,Apartment,Apartment,354000.0,2.0,91.0,0,0,0,1,13.0,1,4.0,0,Excellent
RBU65922,Koning Albertstraat 12,1785,Apartment,Apartment,359000.0,2.0,95.0,0,0,0,1,10.0,1,4.0,0,Excellent
RBU65925,Koning Albertstraat 18,1785,Apartment,Apartment,375000.0,2.0,103.0,0,0,0,1,8.0,1,4.0,0,Excellent
RBU65926,Koning Albertstraat 19,1785,Apartment,Apartment,385000.0,2.0,97.0,0,0,0,1,24.0,1,4.0,0,Excellent
RBU65921,Koning Albertstraat 11,1785,Apartment,Apartment,593000.0,3.0,158.0,0,0,0,1,35.0,1,4.0,0,Excellent
RBU65923,Koning Albertstraat 13,1785,House,Residence,455000.0,3.0,151.0,0,0,0,1,21.0,1,4.0,0,Excellent
RBU12677,Omleiding 105 101,3020,Apartment,Apartment,302319.0,1.0,59.0,0,0,0,1,9.0,1,4.0,0,New
RBT43558,Omleiding 101 2,3020,Apartment,Apartment,,1.0,70.0,0,0,0,1,18.0,1,4.0,0,New
RBU62129,Omleiding 103 3,3020,Apartment,Apartment,399775.0,2.0,82.0,0,0,0,1,21.0,1,4.0,0,New
RBU12676,Omleiding 105 102,3020,Apartment,Apartment,403750.0,2.0,83.0,0,0,0,1,13.0,1,4.0,0,New
RBU12678,Omleiding 105 103,3020,Apartment,Apartment,422479.0,2.0,89.0,0,0,0,1,17.0,1,4.0,0,New
RBU12679,Omleiding 103 101,3020,Apartment,Apartment,424017.0,2.0,91.0,0,0,0,1,12.0,1,4.0,0,New
RBU62131,Omleiding 101 102,3020,Apartment,Apartment,427576.0,2.0,92.0,0,0,0,1,10.0,1,4.0,0,New
RBU64962,Omleiding 103 2,3020,Apartment,Apartment,427811.0,2.0,91.0,0,0,0,1,17.0,1,4.0,0,New
RBU12675,Omleiding 101 1,3020,Apartment,Apartment,428743.0,2.0,91.0,0,0,0,1,18.0,1,4.0,0,New
RBU12682,Omleiding 101 103,3020,Apartment,Apartment,448850.0,2.0,99.0,0,0,0,1,12.0,1,4.0,0,New
RBU62130,Omleiding 101 3,3020,Apartment,Apartment,458222.0,2.0,102.0,0,0,0,1,20.0,1,4.0,0,New
RBT43553,Omleiding 103 1,3020,Apartment,Apartment,,2.0,93.0,0,0,0,1,16.0,1,4.0,0,New
RBU12681,Omleiding 101 101,3020,Apartment,Apartment,500858.0,3.0,106.0,0,0,0,1,13.0,1,4.0,0,New
RBU12680,Omleiding 103 102,3020,Apartment,Apartment,507421.0,3.0,107.0,0,0,0,1,15.0,1,4.0,0,New
RBU64961,Omleiding 105 1,3020,Apartment,Apartment,521700.0,3.0,112.0,0,0,0,1,16.0,1,4.0,0,New
RBU12683,Omleiding 103 201,3020,Apartment,Penthouse,613344.0,2.0,118.0,0,0,0,1,21.0,1,4.0,0,New
RBT43568,Omleiding 105 201,3020,Apartment,Penthouse,,2.0,119.0,0,0,0,1,26.0,1,4.0,0,New
RBU64960,Omleiding 105 201,3020,Apartment,Penthouse,660241.0,3.0,120.0,0,0,0,1,21.0,1,4.0,0,New
